episode,start,m,visible,invisible_fraction,mean_key_id,mean_zipf_weight
0,420,81,76,0.0617,7804,2.0664568208264695e-05
1,440,50,48,0.04,7855.5,2.0542763120256288e-05
2,452,82,78,0.0488,7857.0609756097565,2.0539286466561993e-05
3,477,76,76,0.0,7862.973684210527,2.0525352357770183e-05
4,620,56,55,0.0179,7854.214285714285,2.0545819123052455e-05
5,632,53,53,0.0,7858.358490566037,2.0536059996729825e-05
6,690,114,102,0.1053,4783.5,3.2101349018902825e-05
7,747,73,69,0.0548,4862.821917808219,3.163030711859052e-05
8,825,55,54,0.0182,4616,3.3146610277854264e-05
9,870,144,136,0.0556,915.5,0.00014230011423855334
10,890,88,87,0.0114,4867.772727272727,3.160174073513916e-05
11,915,114,108,0.0526,1595.5,8.623120160126015e-05
12,935,82,78,0.0488,1654.6463414634147,8.346662421535175e-05
13,1050,99,93,0.0606,3761,3.98568650106039e-05
14,1107,78,78,0.0,3813.858974358974,3.936121309066408e-05
15,1115,99,94,0.0505,1657.7575757575758,8.333771297682099e-05
16,1152,68,67,0.0147,3813.029411764706,3.936836290087206e-05
17,1164,80,77,0.0375,3832,3.919381050715366e-05
18,1250,88,46,0.4773,3839.2272727272725,3.912779347252341e-05
19,1262,50,50,0.0,3821.5,3.928918800428906e-05
20,1286,69,69,0.0,3818.6521739130435,3.9316387341130213e-05
21,1365,84,80,0.0476,6569.5,2.4128209695275982e-05
22,1385,81,80,0.0123,6618.802469135802,2.3966935201927693e-05
23,1455,100,96,0.04,581.5,0.0002140459469194062
