popularity_decile,key_range,mean_zipf_weight,mean_p_cached,mean_reads,mean_client_reads
1,0-818,0.0008140523488233693,0.11525030525030525,34.69108669108669,26.045177045177045
2,819-1637,0.0001127705177997751,0.061812779812779814,21.034188034188034,6.808302808302808
3,1638-2456,6.96940911982739e-05,0.05828571428571429,19.626373626373628,4.101343101343101
4,2457-3275,5.119421315463739e-05,0.056613756613756616,18.98901098901099,2.9450549450549453
5,3276-4094,4.073751313407077e-05,0.0566056166056166,18.957264957264957,2.8803418803418803
6,4095-4913,3.396718780374745e-05,0.05564183964183964,18.605616605616607,2.272283272283272
7,4914-5732,2.9206429519703538e-05,0.0549002849002849,18.31257631257631,1.6288156288156288
8,5733-6551,2.5666532973862545e-05,0.054691086691086695,18.216117216117215,1.4017094017094016
9,6552-7370,2.292592417713295e-05,0.054931216931216935,18.26007326007326,1.4493284493284493
10,7371-8189,2.0738147901824994e-05,0.055102971102971104,18.389499389499388,1.6507936507936507
