episode,m,batches,true_recent_count,true_recent_frac,own_frac_short,e1_frac_short,e2_short_excess,bg_local
0,81,4,3,0.037037037037037035,0.27631578947368424,0.35714285714285715,21.0,11.0
1,50,3,26,0.52,0.6875,0.5078125,32.0,11.0
2,82,4,48,0.5853658536585366,0.6455696202531646,0.5388888888888889,53.0,11.0
3,76,4,1,0.013157894736842105,0.013157894736842105,0.15639810426540285,0.0,11.0
4,56,3,0,0.0,0.05454545454545454,0.31746031746031744,5.5,11.5
5,53,3,51,0.9622641509433962,0.9811320754716981,0.6343283582089553,52.0,11.0
6,114,4,3,0.02631578947368421,0.2524271844660194,0.33678756476683935,21.0,11.0
7,73,4,3,0.0410958904109589,0.14705882352941177,0.34269662921348315,19.0,10.5
8,55,3,0,0.0,0.2037037037037037,0.2462686567164179,0.0,11.0
9,144,5,10,0.06944444444444445,0.302158273381295,0.35546875,36.0,11.0
10,88,4,2,0.022727272727272728,0.034482758620689655,0.23857868020304568,3.0,11.0
11,114,4,8,0.07017543859649122,0.25925925925925924,0.34,24.0,11.0
12,82,4,49,0.5975609756097561,0.7692307692307693,0.5536723163841808,54.0,11.0
13,99,4,2,0.020202020202020204,0.24731182795698925,0.37254901960784315,32.0,11.0
14,78,4,2,0.02564102564102564,0.1038961038961039,0.26666666666666666,4.0,11.0
15,99,4,5,0.050505050505050504,0.5684210526315789,0.48058252427184467,55.0,11.0
16,68,4,1,0.014705882352941176,0.0,0.29239766081871343,6.0,11.0
17,80,4,63,0.7875,0.8157894736842105,0.5875706214689266,60.0,11.0
18,88,4,4,0.045454545454545456,0.21621621621621623,0.3984375,7.0,11.0
19,50,3,20,0.4,1.0,0.6258992805755396,54.0,11.0
20,69,4,0,0.0,0.014492753623188406,0.26011560693641617,1.0,11.0
21,84,4,2,0.023809523809523808,0.3375,0.4263157894736842,37.0,11.0
22,81,4,48,0.5925925925925926,0.7125,0.5454545454545454,58.0,11.0
23,100,4,18,0.18,0.2708333333333333,0.35353535353535354,22.0,12.0
