episode,m,batches,true_recent_count,true_recent_frac,own_frac_short,e1_frac_short,e2_short_excess,bg_local
0,69,4,1,0.014492753623188406,0.24193548387096775,0.3532934131736527,15.0,11.0
1,59,3,30,0.5084745762711864,0.7407407407407407,0.5571428571428572,45.0,11.0
2,71,4,1,0.014084507042253521,0.23076923076923078,0.37058823529411766,15.0,12.0
3,53,3,29,0.5471698113207547,0.7307692307692307,0.5289855072463768,37.0,12.0
4,87,4,54,0.6206896551724138,0.6976744186046512,0.5025380710659898,55.0,11.0
5,72,4,1,0.013888888888888888,0.013888888888888888,0.23195876288659795,1.0,11.0
6,67,4,67,1.0,1.0,0.5022421524663677,68.0,11.0
7,74,4,1,0.013513513513513514,0.013888888888888888,0.22598870056497175,0.0,10.5
8,52,3,12,0.23076923076923078,0.37777777777777777,0.3671875,14.0,11.0
9,89,4,13,0.14606741573033707,0.2875,0.3548387096774194,22.0,11.0
10,86,4,15,0.1744186046511628,0.3132530120481928,0.43258426966292135,33.0,11.0
11,103,4,3,0.02912621359223301,0.16666666666666666,0.2647058823529412,10.0,11.0
12,100,4,4,0.04,0.16842105263157894,0.3333333333333333,23.0,11.0
13,109,4,1,0.009174311926605505,0.23076923076923078,0.35678391959798994,27.0,11.0
14,81,4,50,0.6172839506172839,0.7714285714285715,0.5617283950617284,45.0,11.5
15,110,4,1,0.00909090909090909,0.14678899082568808,0.29,14.0,11.0
16,80,4,0,0.0,0.2692307692307692,0.35555555555555557,20.0,11.0
17,99,4,1,0.010101010101010102,0.9081632653061225,0.6323529411764706,87.0,10.5
18,122,4,3,0.02459016393442623,0.28448275862068967,0.36492890995260663,33.0,11.0
19,105,4,0,0.0,0.2647058823529412,0.32211538461538464,23.0,11.0
20,66,4,2,0.030303030303030304,0.734375,0.5301204819277109,44.0,11.0
21,155,5,2,0.012903225806451613,0.28187919463087246,0.3463035019455253,34.0,11.0
22,129,5,1,0.007751937984496124,0.2975206611570248,0.3868312757201646,41.5,10.5
23,71,4,4,0.056338028169014086,0.19718309859154928,0.31976744186046513,11.0,11.0
24,57,3,31,0.543859649122807,0.631578947368421,0.5441176470588235,41.0,11.0
25,60,3,57,0.95,0.9666666666666667,0.6808510638297872,60.0,12.0
26,76,4,3,0.039473684210526314,0.08,0.2702702702702703,6.0,11.0
27,78,4,74,0.9487179487179487,0.9615384615384616,0.4549019607843137,72.0,11.0
28,60,3,60,1.0,1.0,0.38524590163934425,61.0,11.0
29,52,3,0,0.0,0.0,0.13302752293577982,0.0,11.0
30,79,4,52,0.6582278481012658,0.6447368421052632,0.2823920265780731,41.0,11.0
31,64,3,64,1.0,1.0,0.40772532188841204,62.0,11.0
32,58,3,1,0.017241379310344827,0.9827586206896551,0.44680851063829785,51.0,11.0
33,87,4,59,0.6781609195402298,0.7441860465116279,0.3485342019543974,63.0,11.0
34,59,3,2,0.03389830508474576,0.05084745762711865,0.19298245614035087,0.0,12.0
35,84,4,60,0.7142857142857143,0.7195121951219512,0.44813278008298757,64.0,11.0
36,71,4,2,0.028169014084507043,0.014285714285714285,0.2315270935960591,1.0,11.5
37,44,3,1,0.022727272727272728,0.2619047619047619,0.3620689655172414,9.0,11.0
38,137,5,7,0.051094890510948905,0.2421875,0.35655737704918034,32.0,11.0
39,50,3,1,0.02,0.14583333333333334,0.31297709923664124,5.0,12.0
40,100,4,7,0.07,0.35789473684210527,0.35609756097560974,29.0,11.0
41,95,4,49,0.5157894736842106,0.6,0.5405405405405406,56.0,11.0
42,62,3,2,0.03225806451612903,0.11475409836065574,0.29927007299270075,8.0,11.0
43,100,4,1,0.01,0.2,0.3125,18.0,10.5
44,65,4,42,0.6461538461538462,0.71875,0.5225806451612903,39.0,10.5
45,53,3,52,0.9811320754716981,1.0,0.6183206106870229,48.0,11.0
46,55,3,2,0.03636363636363636,0.8,0.609375,45.0,11.0
47,118,4,2,0.01694915254237288,0.22727272727272727,0.30808080808080807,19.0,10.5
48,86,4,6,0.06976744186046512,0.2625,0.34444444444444444,22.0,10.0
49,135,5,4,0.02962962962962963,0.29457364341085274,0.3534136546184739,38.0,10.0
50,90,4,8,0.08888888888888889,0.12941176470588237,0.2931937172774869,12.0,11.0
51,89,4,1,0.011235955056179775,0.22988505747126436,0.2916666666666667,14.0,10.5
52,50,3,6,0.12,0.5531914893617021,0.4666666666666667,23.0,11.0
53,87,4,1,0.011494252873563218,0.22784810126582278,0.37185929648241206,30.0,11.0
54,77,4,7,0.09090909090909091,0.6621621621621622,0.546448087431694,56.0,11.0
55,77,4,57,0.7402597402597403,0.7837837837837838,0.6045197740112994,63.0,11.0
56,85,4,2,0.023529411764705882,0.2073170731707317,0.31746031746031744,16.0,11.0
57,91,4,1,0.01098901098901099,0.5888888888888889,0.46766169154228854,50.0,11.0
58,114,4,3,0.02631578947368421,0.33962264150943394,0.39705882352941174,41.0,10.0
59,53,3,1,0.018867924528301886,0.68,0.5669291338582677,42.0,10.0
60,127,4,3,0.023622047244094488,0.27049180327868855,0.323943661971831,25.0,11.0
61,117,4,3,0.02564102564102564,0.24347826086956523,0.3446601941747573,29.0,10.5
62,65,4,43,0.6615384615384615,0.7580645161290323,0.55625,45.0,11.0
63,68,4,1,0.014705882352941176,0.04411764705882353,0.288135593220339,7.0,11.0
64,50,3,2,0.04,0.04,0.2608695652173913,3.0,11.0
