episode,m,batches,true_recent_count,true_recent_frac,own_frac_short,e1_frac_short,e2_short_excess,bg_local
0,764,3,11,0.014397905759162303,0.8018995929443691,0.8303393213572854,598.0,78.0
1,871,3,11,0.012629161882893225,0.8674556213017751,0.8784878487848785,742.0,78.0
2,686,3,662,0.9650145772594753,1.0,0.9572471324296142,681.0,79.0
3,595,3,595,1.0,1.0,0.9621993127147767,603.0,79.0
4,470,3,432,0.9191489361702128,0.9786780383795309,0.9367429340511441,460.5,78.5
5,779,3,4,0.005134788189987163,0.7473262032085561,0.8024193548387096,559.0,79.0
6,1076,4,9,0.008364312267657992,0.7976539589442815,0.8252923976608187,821.0,77.0
7,726,3,4,0.005509641873278237,0.9175977653631285,0.9109518935516888,657.5,77.5
8,723,3,428,0.5919778699861687,0.9214586255259467,0.922996878251821,653.0,78.0
9,780,3,8,0.010256410256410256,0.789544235924933,0.839481555333998,608.0,78.0
10,1007,4,4,0.003972194637537239,0.9256281407035176,0.9145173176123802,923.0,79.5
11,913,3,360,0.39430449069003287,0.8692737430167597,0.8799298860648553,764.0,80.0
12,591,3,6,0.01015228426395939,0.7366548042704626,0.8007425742574258,410.0,79.0
13,328,3,188,0.573170731707317,0.94375,0.9208754208754208,313.0,78.0
14,496,3,322,0.6491935483870968,0.9306122448979591,0.9117259552042161,458.0,78.0
15,828,3,490,0.5917874396135265,0.9427527405602923,0.9199632014719411,769.0,77.0
16,1865,4,19,0.010187667560321715,0.7804335742078933,0.8181386514719848,1415.0,77.0
17,1331,4,29,0.021788129226145755,0.8056426332288401,0.8379544054220579,1048.0,78.0
18,1610,4,27,0.016770186335403725,0.9101194217473287,0.911504424778761,1435.0,79.0
19,1955,4,15,0.0076726342710997444,0.8043593833067517,0.8146167557932263,1512.0,79.0
20,412,3,298,0.7233009708737864,0.9511002444987775,0.9231905465288035,388.0,79.0
21,1003,4,14,0.013958125623130608,0.9261133603238867,0.9301115241635688,935.0,79.0
22,1307,4,418,0.31981637337413926,0.9081081081081082,0.9063647490820074,1165.0,79.0
23,1464,4,1112,0.7595628415300546,0.9993164730006835,0.9581521739130435,1447.0,79.0
24,1038,4,1038,1.0,1.0,0.5518655186551865,1032.0,78.5
25,1658,4,176,0.10615199034981906,0.8010012515644556,0.8308823529411765,1274.0,77.0
26,713,3,13,0.0182328190743338,0.8809182209469153,0.8835257082896117,608.0,78.0
27,459,3,236,0.514161220043573,0.9046563192904656,0.8940027894002789,410.0,77.0
28,368,3,363,0.9864130434782609,1.0,0.9480314960629921,371.0,77.0
29,591,3,459,0.7766497461928934,0.9812925170068028,0.9369988545246277,587.0,77.0
30,716,3,539,0.7527932960893855,0.942008486562942,0.9124236252545825,665.0,77.0
31,878,3,764,0.8701594533029613,0.9862542955326461,0.9518388791593695,854.5,77.5
32,614,3,7,0.011400651465798045,0.7904599659284497,0.8284023668639053,466.0,78.0
33,334,3,4,0.011976047904191617,0.784375,0.8253424657534246,251.0,77.0
34,1091,4,31,0.02841429880843263,0.755023923444976,0.7982326951399117,774.0,77.5
35,778,3,8,0.010282776349614395,0.8335535006605019,0.8488714425907753,632.5,77.5
36,306,3,3,0.00980392156862745,0.797945205479452,0.815742397137746,219.0,79.0
37,1250,4,34,0.0272,0.8981101068200493,0.8960619754680439,1072.0,79.0
38,424,3,0,0.0,0.8121951219512196,0.8647416413373861,330.5,79.5
39,1955,4,19,0.009718670076726343,0.7825159914712153,0.8252562907735321,1455.0,79.0
40,606,3,437,0.7211221122112211,0.9531772575250836,0.9109826589595376,554.0,78.0
41,849,3,599,0.7055359246171967,0.9881796690307328,0.9510240427426536,834.0,78.0
42,1269,4,13,0.01024428684003152,0.8008163265306123,0.840025493945188,1006.0,78.0
43,558,3,3,0.005376344086021506,0.7813084112149533,0.8233082706766918,420.0,79.0
44,485,3,4,0.008247422680412371,0.7863436123348018,0.8337950138504155,365.0,79.0
45,712,3,13,0.018258426966292134,0.9304964539007092,0.9082474226804124,644.0,79.0
46,695,3,7,0.010071942446043165,0.8779761904761905,0.8777895855472901,589.0,79.0
47,295,3,292,0.9898305084745763,1.0,0.9442508710801394,305.0,79.0
48,732,3,7,0.009562841530054645,0.8375706214689266,0.8660531697341514,610.0,79.0
49,1530,4,22,0.01437908496732026,0.7786885245901639,0.8224985867721877,1143.0,78.0
50,1329,4,12,0.009029345372460496,0.8015810276679842,0.8280657395701644,998.0,78.0
51,1008,4,391,0.3878968253968254,0.98001998001998,0.9571955719557196,981.0,79.0
52,1265,4,17,0.013438735177865613,0.9190705128205128,0.912826899128269,1150.0,79.0
53,844,3,635,0.7523696682464455,1.0,0.9538188277087034,840.0,78.0
54,1213,4,1123,0.9258037922506183,1.0,0.9505389980976537,1185.0,78.5
