seed_dir,arm,threshold,burst_noise_pairs,precision,recall,f1,within_window_recall,tp,fp,fn,magnitude_pearson,magnitude_pearson_excess
s7,baseline,,67,0.506,0.827,0.628,0.913,43,42,9,0.467,0.561
s7,+peak q50,0.1346,67,0.609,0.808,0.694,0.891,42,27,10,0.586,0.625
s7,+entropy q50,3.9544,67,0.614,0.827,0.705,0.913,43,27,9,0.584,0.624
s7,+poisson q50,2.9635,67,0.618,0.808,0.7,0.891,42,26,10,0.537,0.596
s7,+obs_over_exp q50,2.138,67,0.589,0.827,0.688,0.913,43,30,9,0.529,0.59
s7,poisson_only q50,2.9635,67,0.611,0.846,0.71,0.935,44,28,8,0.539,0.597
s7,peak_only q50,0.1346,67,0.554,0.981,0.708,0.978,51,41,1,0.61,0.64
s7,+peak q90,0.2857,67,0.83,0.75,0.788,0.848,39,8,13,0.667,0.668
s7,+entropy q90,3.0931,67,0.756,0.654,0.701,0.739,34,11,18,0.635,0.641
s7,+poisson q90,4.4264,67,0.82,0.788,0.804,0.87,41,9,11,0.649,0.661
s7,+obs_over_exp q90,2.4609,67,0.755,0.769,0.762,0.848,40,13,12,0.619,0.638
s7,poisson_only q90,4.4264,67,0.82,0.788,0.804,0.87,41,9,11,0.649,0.661
s7,peak_only q90,0.2857,67,0.712,0.808,0.757,0.848,42,17,10,0.671,0.67
s7,+peak q99,0.5,67,0.958,0.442,0.605,0.5,23,1,29,0.596,0.596
s7,+entropy q99,1.4855,67,0.5,0.019,0.037,0.022,1,1,51,0.118,0.121
s7,+poisson q99,5.3072,67,0.886,0.75,0.813,0.826,39,5,13,0.664,0.668
s7,+obs_over_exp q99,2.8477,67,0.822,0.712,0.763,0.783,37,8,15,0.644,0.652
s7,poisson_only q99,5.3072,67,0.886,0.75,0.813,0.826,39,5,13,0.664,0.668
s7,peak_only q99,0.5,67,0.727,0.462,0.565,0.5,24,9,28,0.593,0.594
s8,baseline,,73,0.486,0.66,0.56,0.723,35,37,18,0.155,0.251
s8,+peak q50,0.1143,73,0.556,0.66,0.603,0.723,35,28,18,0.257,0.313
s8,+entropy q50,4.0191,73,0.538,0.66,0.593,0.723,35,30,18,0.243,0.305
s8,+poisson q50,2.9635,73,0.604,0.604,0.604,0.681,32,21,21,0.269,0.317
s8,+obs_over_exp q50,2.1181,73,0.565,0.66,0.609,0.723,35,27,18,0.23,0.291
s8,poisson_only q50,2.9635,73,0.627,0.698,0.661,0.787,37,22,16,0.292,0.333
s8,peak_only q50,0.1143,73,0.53,1.0,0.693,1.0,53,47,0,0.31,0.352
s8,+peak q90,0.4167,73,0.87,0.377,0.526,0.404,20,3,33,0.431,0.426
s8,+entropy q90,1.8774,73,0.778,0.132,0.226,0.128,7,2,46,0.287,0.286
s8,+poisson q90,4.1911,73,0.711,0.509,0.593,0.574,27,11,26,0.331,0.352
s8,+obs_over_exp q90,2.4012,73,0.717,0.623,0.667,0.681,33,13,20,0.342,0.361
s8,poisson_only q90,4.1911,73,0.718,0.528,0.609,0.596,28,11,25,0.336,0.355
s8,peak_only q90,0.4167,73,0.647,0.415,0.506,0.404,22,12,31,0.428,0.424
s8,+peak q99,0.5,73,0.895,0.321,0.472,0.34,17,2,36,0.41,0.407
s8,+entropy q99,1.5,73,0.0,0.0,0.0,0.0,0,1,53,-0.085,-0.085
s8,+poisson q99,4.9108,73,0.781,0.472,0.588,0.532,25,7,28,0.366,0.374
s8,+obs_over_exp q99,3.0093,73,0.767,0.434,0.554,0.489,23,7,30,0.341,0.355
s8,poisson_only q99,4.9108,73,0.781,0.472,0.588,0.532,25,7,28,0.366,0.374
s8,peak_only q99,0.5,73,0.633,0.358,0.458,0.34,19,11,34,0.406,0.405
s9,baseline,,68,0.4,0.897,0.553,0.929,26,39,3,0.493,0.583
s9,+peak q50,0.1389,68,0.543,0.862,0.667,0.893,25,21,4,0.655,0.665
s9,+entropy q50,3.9027,68,0.51,0.862,0.641,0.893,25,24,4,0.64,0.657
s9,+poisson q50,2.9873,68,0.511,0.793,0.622,0.821,23,22,6,0.534,0.596
s9,+obs_over_exp q50,2.1248,68,0.49,0.828,0.615,0.857,24,25,5,0.559,0.611
s9,poisson_only q50,2.9873,68,0.489,0.793,0.605,0.821,23,24,6,0.531,0.594
s9,peak_only q50,0.1389,68,0.409,0.931,0.568,0.929,27,39,2,0.654,0.665
s9,+peak q90,0.2083,68,0.645,0.69,0.667,0.714,20,11,9,0.645,0.648
s9,+entropy q90,3.1379,68,0.643,0.621,0.632,0.643,18,10,11,0.582,0.585
s9,+poisson q90,4.1911,68,0.633,0.655,0.644,0.679,19,11,10,0.591,0.62
s9,+obs_over_exp q90,2.4559,68,0.677,0.724,0.7,0.75,21,10,8,0.661,0.662
s9,poisson_only q90,4.1911,68,0.633,0.655,0.644,0.679,19,11,10,0.591,0.62
s9,peak_only q90,0.2083,68,0.458,0.759,0.571,0.75,22,26,7,0.644,0.648
s9,+peak q99,0.5,68,0.857,0.414,0.558,0.429,12,2,17,0.612,0.612
s9,+entropy q99,1.5,68,0.0,0.0,0.0,0.0,0,1,29,-0.066,-0.066
s9,+poisson q99,4.6188,68,0.679,0.655,0.667,0.679,19,9,10,0.607,0.629
s9,+obs_over_exp q99,2.8757,68,0.704,0.655,0.679,0.679,19,8,10,0.642,0.645
s9,poisson_only q99,4.6188,68,0.679,0.655,0.667,0.679,19,9,10,0.607,0.629
s9,peak_only q99,0.5,68,0.6,0.414,0.49,0.429,12,8,17,0.61,0.611
