parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,30,1,3034,3073,69,59,66.0,25.0,0.37879,13.0,3.09992,22.0,0.25781,0.68041,0.03033,0.25773,12.09091,4.63428,4.0,18.0,12.12346,53.87654,15.47343,28.69775,5.44399
1,2,0,0,3073,4148,59,71,24.0,4.0,0.16667,11.0,3.22018,8.0,0.0625,0.18898,0.01042,0.0315,62.33333,5.84285,54.0,69.0,8.79012,15.20988,5.13013,3.33338,2.73034
0,2,0,0,3034,4148,69,71,1.0,1.0,1.0,1.0,-0.0,0.33333,0.00391,0.01031,0.00046,0.01031,74,0.0,74.0,89.0,0.59259,0.40741,0.52924,0.52924,1.6875
2,4,35,1,4148,4184,71,87,40.0,6.0,0.15,18.0,3.9062,10.0,0.10417,0.29412,0.01736,0.04412,24.45,6.05785,15.0,29.0,15.66667,24.33333,6.14771,3.33618,2.55319
4,5,67,1,4184,4179,87,72,101.0,66.0,0.65347,20.0,2.30228,25.25,0.19727,0.59064,0.04153,0.38596,19.75248,3.82903,7.0,22.0,13.96296,87.03704,23.29246,63.35109,7.23342
2,5,40,1,4148,4179,71,72,19.0,5.0,0.26316,10.0,3.07085,4.75,0.04948,0.13971,0.00825,0.03676,51.89474,3.44727,43.0,54.0,6.98765,12.01235,4.54425,4.63645,2.71908
2,6,37,1,4148,4182,71,67,22.0,4.0,0.18182,14.0,3.64125,5.5,0.05729,0.16176,0.00955,0.02941,60.59091,6.42905,51.0,66.0,9.12346,12.87654,4.26304,3.07937,2.41137
4,6,65,1,4184,4182,87,67,21.0,3.0,0.14286,14.0,3.6897,5.25,0.04102,0.12651,0.00863,0.01807,29.71429,5.13756,22.0,34.0,9.61728,11.38272,3.67045,2.28332,2.18357
5,6,67,1,4179,4182,72,67,97.0,65.0,0.6701,13.0,2.0373,24.25,0.18945,0.58434,0.03988,0.39157,7.95876,2.15826,3.0,9.0,13.03704,83.96296,23.25403,64.96664,7.44034
9,10,45,1,882,926,89,86,53.0,18.0,0.33962,16.0,3.17364,13.25,0.10352,0.29444,0.02179,0.1,50.26415,4.19861,39.0,53.0,15.16049,37.83951,9.71827,15.26484,3.49593
10,11,0,0,926,4233,86,103,85.0,22.0,0.25882,19.0,3.6195,17.0,0.16602,0.47222,0.03495,0.12222,27.77647,4.69637,17.0,30.0,24.64198,60.35802,12.15898,15.98611,3.4494
9,11,0,0,882,4233,89,103,3.0,1.0,0.33333,3.0,1.58496,0.6,0.00586,0.01667,0.00123,0.00556,72,0.8165,71.0,86.0,1.60494,1.39506,1.1012,0.92841,1.86923
11,12,49,1,4233,4287,103,100,84.0,41.0,0.4881,20.0,2.96377,16.8,0.13125,0.37838,0.03281,0.18468,51.25,4.08503,39.0,53.0,20.08642,63.91358,14.26073,42.92081,4.18193
12,13,0,0,4287,4003,100,109,59.0,5.0,0.08475,20.0,4.23207,11.8,0.09219,0.26577,0.02305,0.02252,26.84746,6.4066,16.0,30.0,24.06173,34.93827,7.12259,4.69018,2.45203
11,13,0,0,4233,4003,103,109,3.0,2.0,0.66667,2.0,0.9183,0.6,0.00469,0.01339,0.00117,0.00893,73.66667,0.4714,73.0,87.0,2.01235,0.98765,0.69623,0.40825,1.4908
13,14,50,1,4003,4062,109,81,75.0,46.0,0.61333,15.0,2.35617,25.0,0.19531,0.61983,0.0293,0.38017,13.25333,4.02026,2.0,15.0,9.35802,65.64198,21.45802,52.80469,8.01451
12,14,0,0,4287,4062,100,81,13.0,3.0,0.23077,10.0,3.18083,4.33333,0.03385,0.10744,0.00508,0.02479,41.15385,5.92058,35.0,49.0,4.38272,8.61728,4.11622,4.06181,2.9662
14,15,81,1,4062,4052,81,110,13.0,3.0,0.23077,7.0,2.66123,2.6,0.03385,0.10744,0.00564,0.02479,70.23077,1.80401,67.0,81.0,4.22222,8.77778,4.27183,2.49511,3.07895
15,16,0,0,4052,7782,110,80,13.0,3.0,0.23077,8.0,2.87314,6.5,0.05078,0.15663,0.00508,0.03614,67.84615,3.95836,60.0,75.0,6.17284,6.82716,2.74788,1.93793,2.106
