det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
0,1,30,3034,3073,69,59,20
1,39,29,3073,3121,59,100,1825
1,40,2,3073,3170,59,95,1845
2,4,35,4148,4184,71,87,32
2,5,40,4148,4179,71,72,57
2,6,37,4148,4182,71,67,69
2,7,31,4148,4188,71,74,200
2,14,31,4148,4062,71,81,515
2,15,50,4148,4052,71,110,597
2,17,43,4148,4056,71,99,695
4,5,67,4184,4179,87,72,25
4,6,65,4184,4182,87,67,37
4,7,74,4184,4188,87,74,168
4,11,52,4184,4233,87,103,373
4,12,24,4184,4287,87,100,430
4,15,18,4184,4052,87,110,565
4,17,11,4184,4056,87,99,663
5,6,67,4179,4182,72,67,12
5,7,63,4179,4188,72,74,143
5,11,32,4179,4233,72,103,348
5,12,4,4179,4287,72,100,405
5,14,4,4179,4062,72,81,458
5,15,23,4179,4052,72,110,540
5,17,16,4179,4056,72,99,638
6,7,61,4182,4188,67,74,131
6,11,30,4182,4233,67,103,336
6,12,2,4182,4287,67,100,393
6,14,1,4182,4062,67,81,446
6,15,20,4182,4052,67,110,528
6,17,13,4182,4056,67,99,626
7,11,43,4188,4233,74,103,205
7,12,15,4188,4287,74,100,262
7,15,14,4188,4052,74,110,397
7,17,7,4188,4056,74,99,495
9,10,45,882,926,89,86,57
11,12,49,4233,4287,103,100,57
13,14,50,4003,4062,109,81,20
13,15,60,4003,4052,109,110,102
13,17,56,4003,4056,109,99,200
14,15,81,4062,4052,81,110,82
14,17,81,4062,4056,81,99,180
15,17,99,4052,4056,110,99,98
18,20,45,5111,5188,122,66,102
23,25,30,2422,2463,71,60,32
23,26,30,2422,2463,71,76,56
23,27,33,2422,2460,71,78,69
23,28,30,2422,2463,71,60,80
23,29,32,2422,2461,71,52,104
23,30,40,2422,2453,71,79,116
23,32,30,2422,2463,71,58,150
23,33,39,2422,2454,71,87,164
23,35,33,2422,2460,71,84,212
23,36,36,2422,2457,71,71,236
25,26,60,2463,2463,60,76,24
25,27,60,2463,2460,60,78,37
25,28,60,2463,2463,60,60,48
25,29,50,2463,2461,60,52,72
25,30,60,2463,2453,60,79,84
25,32,58,2463,2463,60,58,118
25,33,60,2463,2454,60,87,132
25,35,60,2463,2460,60,84,180
25,36,60,2463,2457,60,71,204
25,57,8,2463,2555,60,114,1588
26,27,75,2463,2460,76,78,13
26,28,60,2463,2463,76,60,24
26,29,50,2463,2461,76,52,48
26,30,69,2463,2453,76,79,60
26,32,58,2463,2463,76,58,94
26,33,76,2463,2454,76,87,108
26,35,76,2463,2460,76,84,156
26,36,65,2463,2457,76,71,180
26,57,24,2463,2555,76,114,1564
27,28,60,2460,2463,78,60,11
27,29,52,2460,2461,78,52,35
27,30,72,2460,2453,78,79,47
27,32,58,2460,2463,78,58,81
27,33,78,2460,2454,78,87,95
27,35,78,2460,2460,78,84,143
27,36,68,2460,2457,78,71,167
27,57,23,2460,2555,78,114,1551
28,29,50,2463,2461,60,52,24
28,30,60,2463,2453,60,79,36
28,32,58,2463,2463,60,58,70
28,33,60,2463,2454,60,87,84
28,35,60,2463,2460,60,84,132
28,36,60,2463,2457,60,71,156
28,57,8,2463,2555,60,114,1540
29,30,52,2461,2453,52,79,12
29,32,50,2461,2463,52,58,46
29,33,52,2461,2454,52,87,60
29,35,52,2461,2460,52,84,108
29,36,52,2461,2457,52,71,132
30,32,58,2453,2463,79,58,34
30,33,78,2453,2454,79,87,48
30,35,72,2453,2460,79,84,96
30,36,71,2453,2457,79,71,120
30,57,17,2453,2555,79,114,1504
32,33,58,2463,2454,58,87,14
32,35,58,2463,2460,58,84,62
32,36,58,2463,2457,58,71,86
32,57,6,2463,2555,58,114,1470
33,35,81,2454,2460,87,84,48
33,36,71,2454,2457,87,71,72
33,57,26,2454,2555,87,114,1456
35,36,68,2460,2457,84,71,24
35,57,29,2460,2555,84,114,1408
36,57,13,2457,2555,71,114,1384
37,38,30,4751,4858,137,50,57
37,41,42,4751,4846,137,62,200
38,41,50,4858,4846,50,62,143
39,40,51,3121,3170,100,95,20
39,45,35,3121,3186,100,55,200
40,45,55,3170,3186,95,55,180
42,43,43,3730,3787,100,65,20
42,44,33,3730,3797,100,53,32
43,44,53,3787,3797,65,53,12
47,72,41,764,712,86,71,1235
48,49,53,5776,5858,135,90,57
49,75,34,5858,5936,90,49,1293
50,51,30,1607,1666,89,50,102
50,53,32,1607,1664,89,77,200
50,54,52,1607,1644,89,77,212
51,53,50,1666,1664,50,77,98
51,54,50,1666,1644,50,77,110
52,56,42,6068,6113,87,91,102
53,54,57,1664,1644,77,77,12
55,58,33,6928,6980,85,53,102
57,62,46,2555,2623,114,68,200
60,61,44,3502,3575,117,65,20
60,63,69,3502,3550,117,115,114
60,67,31,3502,3408,117,85,294
61,63,65,3575,3550,65,115,94
65,67,40,3373,3408,75,85,69
69,72,30,689,712,53,71,200
70,73,79,180,241,140,112,126
70,74,31,180,289,140,51,150
73,74,51,241,289,112,51,24
