feature,auc,auc_abs,direction,median_true,median_false
peak_frac,0.901,0.901,high=true,0.6678,0.1237
dist_entropy,0.17,0.83,low=true,1.6902,3.5845
poisson_z_max_cell,0.786,0.786,high=true,140.4592,2.4716
max_cell,0.768,0.768,high=true,551.0,25.0
max_cell_over_min_miss,0.724,0.724,high=true,0.5745,0.0341
alpha_sd,0.277,0.723,low=true,2.7684,3.3881
mass,0.717,0.717,high=true,757.0,233.0
mass_over_evict_writes,0.712,0.712,high=true,0.0159,0.0052
mass_per_child_batch,0.707,0.707,high=true,217.0,65.9167
mass_over_min_read_mass,0.695,0.695,high=true,0.1009,0.0311
n_dist,0.638,0.638,high=true,16.0,13.5
mass_over_min_miss_mass,0.633,0.633,high=true,0.7968,0.2759
obs_over_exp,0.621,0.621,high=true,1.8868,1.0828
excess_mass,0.619,0.619,high=true,346.02,21.12
poisson_z_total,0.619,0.619,high=true,19.8137,1.673
exp_mass,0.612,0.612,high=true,244.94,208.42
gap,0.458,0.542,low=true,30.0,32.5
alpha_min,0.468,0.532,low=true,15.0,19.0
alpha_mean,0.526,0.526,high=true,30.0399,29.0396
