parent,child,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,630.0,47.0,0.0746,21.0,4.27199,157.5,0.084,0.7,0.014,0.05222,18.35397,5.44789,8.0,23.0,650.96,-20.96,-0.82151,2.66379,0.9678
1,2,479.0,31.0,0.06472,21.0,4.28294,159.66667,0.06387,0.46961,0.01008,0.03039,16.88309,5.51813,7.0,22.0,413.1,65.9,3.24233,2.27549,1.15953
0,2,257.0,30.0,0.11673,13.0,3.55753,85.66667,0.03427,0.28556,0.00571,0.03333,39.36187,3.46149,33.0,48.0,254.78,2.22,0.13908,2.36299,1.00871
2,3,831.0,56.0,0.06739,20.0,4.23529,166.2,0.1108,0.81471,0.01847,0.0549,17.91336,5.14808,9.0,23.0,744.6,86.4,3.1663,2.5163,1.11604
1,3,499.0,49.0,0.0982,14.0,3.68962,99.8,0.0499,0.35822,0.01051,0.03518,39.33667,3.69136,32.0,47.0,505.18,-6.18,-0.27496,1.82781,0.98777
3,4,862.0,61.0,0.07077,23.0,4.38265,215.5,0.0862,0.44548,0.01724,0.03152,16.73666,5.70212,6.0,21.0,774.18,87.82,3.15626,2.96985,1.11344
2,4,452.0,49.0,0.10841,12.0,3.55535,113.0,0.06027,0.44314,0.01004,0.04804,39.57965,3.26083,34.0,48.0,438.48,13.52,0.64566,2.03189,1.03083
4,5,288.0,23.0,0.07986,21.0,4.24083,96.0,0.0384,0.40393,0.00606,0.03226,16.54514,5.51495,7.0,22.0,261.88,26.12,1.61407,2.44224,1.09974
3,5,218.0,21.0,0.09633,15.0,3.80528,72.66667,0.02907,0.30575,0.00436,0.02945,38.7156,4.20046,31.0,46.0,189.64,28.36,2.0594,3.06808,1.14955
5,6,350.0,40.0,0.11429,13.0,3.61763,116.66667,0.04667,0.49088,0.00778,0.0561,39.35143,3.52533,33.0,48.0,257.98,92.02,5.72914,5.6598,1.35669
6,7,800.0,56.0,0.07,21.0,4.20851,200.0,0.10667,0.95808,0.01778,0.06707,17.795,5.17523,8.0,23.0,728.8,71.2,2.6374,2.08567,1.09769
7,8,435.0,31.0,0.07126,21.0,4.24934,145.0,0.058,0.44479,0.00916,0.0317,16.3908,5.58643,7.0,22.0,361.72,73.28,3.853,2.27549,1.20259
