parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
2,3,595,1,49065,49075,686,595,701.0,592.0,0.84451,20.0,1.2621,233.66667,0.09347,0.82763,0.01558,0.69894,17.90014,3.29678,4.0,19.0,298.12,402.88,23.33351,156.66062,2.3514
2,4,442,1,49065,49037,686,470,83.0,14.0,0.16867,17.0,3.89086,27.66667,0.01107,0.11323,0.00184,0.0191,37.46988,5.24654,28.0,43.0,186.86,-103.86,-7.59784,1.68846,0.44418
3,4,432,1,49075,49037,595,470,545.0,424.0,0.77798,20.0,1.64774,181.66667,0.07267,0.74352,0.01211,0.57844,20.54862,3.79883,7.0,22.0,249.4,295.6,18.71786,122.98174,2.18524
6,7,0,0,86895,92237,1076,726,538.0,365.0,0.67844,9.0,1.59658,179.33333,0.07173,0.63294,0.01196,0.42941,3.52788,1.2496,1.0,5.0,133.58,404.42,34.99145,85.52745,4.02755
18,21,0,0,41962,20351,1610,1003,32.0,13.0,0.40625,5.0,2.01202,8.0,0.0032,0.02484,0.00067,0.01009,43.5,1.08972,41.0,47.0,91.7,-59.7,-6.23433,0.28111,0.34896
21,22,0,0,20351,67734,1003,1307,666.0,406.0,0.60961,19.0,2.55129,222.0,0.0888,0.51708,0.01402,0.31522,5.17267,5.09595,1.0,14.0,490.06,175.94,7.94767,86.60123,1.35902
21,23,0,0,20351,67388,1003,1464,716.0,223.0,0.31145,20.0,3.51644,179.0,0.0716,0.5559,0.01507,0.17314,18.48603,5.32109,13.0,26.0,820.42,-104.42,-3.64557,41.09938,0.87272
22,23,1118,1,67734,67388,1307,1464,1367.0,777.0,0.5684,14.0,1.89225,341.75,0.18227,0.91255,0.03038,0.51869,10.05194,1.64548,1.0,10.0,505.48,861.52,38.31893,129.33935,2.70436
23,24,1038,1,67388,67809,1464,1038,1136.0,621.0,0.54665,14.0,1.57081,378.66667,0.15147,0.94431,0.02392,0.51621,9.34155,1.48273,1.0,9.0,203.72,932.28,65.3175,117.06771,5.57628
22,24,1038,1,67734,67809,1307,1038,159.0,22.0,0.13836,14.0,3.57052,53.0,0.0212,0.13217,0.00353,0.01829,20.22013,3.25952,13.0,22.0,326.28,-167.28,-9.26081,3.07086,0.48731
21,24,0,0,20351,67809,1003,1038,268.0,27.0,0.10075,19.0,4.08506,89.33333,0.03573,0.22278,0.00564,0.02244,34.00746,4.85844,25.0,38.0,553.68,-285.68,-12.14089,2.56579,0.48403
31,32,0,0,21447,63994,878,614,18.0,11.0,0.61111,2.0,0.96408,6.0,0.0024,0.02311,0.0004,0.01412,44.38889,0.4875,44.0,58.0,27.96,-9.96,-1.88361,-0.53688,0.64378
34,35,0,0,64413,27535,778,306,195.0,16.0,0.08205,19.0,4.12262,65.0,0.026,0.37356,0.00433,0.03065,27.45128,4.97289,18.0,33.0,174.66,20.34,1.53906,2.30236,1.11645
35,36,0,0,27535,16274,306,1250,802.0,351.0,0.43766,10.0,2.13688,200.5,0.10693,1.5364,0.01782,0.67241,3.78554,1.42786,1.0,5.0,210.42,591.58,40.78214,71.7406,3.81142
34,36,0,0,64413,16274,778,1250,307.0,24.0,0.07818,20.0,4.23604,76.75,0.04093,0.35739,0.00682,0.02794,34.88274,5.17756,25.0,40.0,527.46,-220.46,-9.5992,2.4714,0.58203
36,37,0,0,16274,99533,1250,424,298.0,22.0,0.07383,19.0,4.16597,99.33333,0.03973,0.48065,0.00627,0.03548,10.17785,5.32046,1.0,15.0,220.14,77.86,5.24765,3.36849,1.35368
35,37,0,0,27535,99533,306,424,95.0,18.0,0.18947,8.0,2.86331,31.66667,0.01267,0.18199,0.00211,0.03448,23.16842,2.00343,19.0,23.0,84.32,10.68,1.16307,1.81619,1.12666
34,37,0,0,64413,99533,778,424,13.0,8.0,0.61538,3.0,1.2389,4.33333,0.00173,0.02097,0.00029,0.0129,44.53846,0.63432,43.0,58.0,23.38,-10.38,-2.14672,0.1649,0.55603
40,41,0,0,77345,49949,849,1269,635.0,45.0,0.07087,21.0,4.24788,158.75,0.08467,0.63121,0.01411,0.04473,10.80472,5.34124,1.0,16.0,518.82,116.18,5.10062,2.72081,1.22393
41,42,0,0,49949,95095,1269,558,193.0,21.0,0.10881,14.0,3.68425,64.33333,0.02573,0.26081,0.00406,0.02838,39.05181,3.77851,32.0,47.0,183.36,9.64,0.71191,2.38514,1.05257
42,44,0,0,95095,50689,558,712,866.0,273.0,0.31524,20.0,3.29429,288.66667,0.11547,1.17027,0.01924,0.36892,34.61201,3.6972,23.0,38.0,471.6,394.4,18.16143,57.10196,1.8363
44,46,0,0,50689,62097,712,295,24.0,5.0,0.20833,8.0,2.85123,8.0,0.0032,0.0438,0.00053,0.00912,41.08333,2.72208,37.0,52.0,41.88,-17.88,-2.76289,1.63978,0.57307
46,47,0,0,62097,92841,295,732,131.0,25.0,0.19084,8.0,2.80012,43.66667,0.01747,0.23905,0.00291,0.04562,4.10687,1.8254,1.0,4.0,112.32,18.68,1.76258,4.54121,1.16631
44,47,0,0,50689,92841,712,732,18.0,12.0,0.66667,2.0,0.9183,6.0,0.0024,0.02115,0.0004,0.0141,44.66667,0.4714,44.0,58.0,31.82,-13.82,-2.44995,1.47899,0.56568
47,48,0,0,92841,56678,732,1530,645.0,43.0,0.06667,19.0,4.20848,161.25,0.086,0.69355,0.01433,0.04624,17.78915,5.26055,9.0,23.0,591.42,53.58,2.2032,2.62372,1.0906
46,48,0,0,62097,56678,295,1530,207.0,46.0,0.22222,9.0,2.78682,51.75,0.0276,0.37774,0.0046,0.08394,29.69565,1.82286,26.0,29.0,192.0,15.0,1.08253,1.83136,1.07812
50,51,0,0,75504,57403,1008,1265,150.0,23.0,0.15333,10.0,3.19785,50.0,0.02,0.12931,0.00333,0.01983,5.84667,2.51856,1.0,6.0,234.24,-84.24,-5.50412,3.38898,0.64037
51,52,0,0,57403,75297,1265,844,330.0,138.0,0.41818,19.0,2.90464,110.0,0.044,0.29973,0.00733,0.12534,4.95758,4.26025,1.0,15.0,352.42,-22.42,-1.19428,25.58778,0.93638
50,52,637,1,75504,75297,1008,844,664.0,629.0,0.94729,10.0,0.4393,221.33333,0.08853,0.60309,0.01476,0.5713,23.00151,0.52784,18.0,23.0,136.48,527.52,45.15485,141.11089,4.86518
50,53,919,1,75504,75210,1008,1213,335.0,214.0,0.63881,11.0,1.6645,83.75,0.04467,0.28879,0.00744,0.18448,34.63881,1.19863,29.0,34.0,122.34,212.66,19.22656,73.36679,2.73827
52,53,844,1,75297,75210,844,1213,942.0,848.0,0.90021,14.0,0.81514,235.5,0.1256,0.85559,0.02093,0.77021,8.76539,1.26657,1.0,9.0,178.26,763.74,57.20297,182.91036,5.28442
51,53,0,0,57403,75210,1265,1213,181.0,58.0,0.32044,20.0,3.53433,45.25,0.02413,0.1305,0.00402,0.04182,17.69613,5.16912,12.0,26.0,247.62,-66.62,-4.23362,7.82624,0.73096
