det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
2,3,595,49065,49075,686,595,21
2,4,442,49065,49037,686,470,45
3,4,432,49075,49037,595,470,24
6,10,341,86895,87630,1076,1007,90
7,47,162,92237,92841,726,732,1018
22,23,1118,67734,67388,1307,1464,12
22,24,1038,67734,67809,1307,1038,24
23,24,1038,67388,67809,1464,1038,12
32,34,195,63994,64413,614,778,90
41,44,529,49949,50689,1269,712,90
48,51,805,56678,57403,1530,1265,90
50,52,637,75504,75297,1008,844,25
50,53,919,75504,75210,1008,1213,36
52,53,844,75297,75210,844,1213,11
