parent,child,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,56.0,6.0,0.10714,21.0,4.18898,9.33333,0.10938,0.33136,0.02303,0.0355,38.39286,5.28366,28.0,43.0,27.85185,28.14815,5.33363,2.05738,2.01064
1,2,47.0,4.0,0.08511,18.0,4.0379,7.83333,0.0612,0.17939,0.01749,0.01527,36.85106,6.01409,26.0,39.0,22.67901,24.32099,5.10704,2.81374,2.0724
0,2,5.0,2.0,0.4,3.0,1.52193,0.83333,0.00977,0.02959,0.00206,0.01183,72.8,0.74833,72.0,87.0,2.08642,2.91358,2.01709,2.81374,2.39645
2,3,10.0,5.0,0.5,3.0,1.48548,1.66667,0.01302,0.03817,0.00372,0.01908,73.2,0.87178,72.0,86.0,4.93827,5.06173,2.27778,2.58919,2.025
3,4,36.0,4.0,0.11111,18.0,3.95397,12.0,0.09375,0.27907,0.01339,0.03101,33.97222,5.67884,25.0,40.0,20.11111,15.88889,3.54304,3.07937,1.79006
4,5,32.0,5.0,0.15625,13.0,3.46502,10.66667,0.08333,0.24806,0.01389,0.03876,36.875,5.37791,28.0,43.0,13.01235,18.98765,5.26373,2.81666,2.4592
3,5,6.0,3.0,0.5,3.0,1.45915,2.0,0.01562,0.04348,0.00223,0.02174,72.83333,0.68718,72.0,85.0,2.44444,3.55556,2.27414,2.94299,2.45455
5,6,37.0,6.0,0.16216,14.0,3.54773,9.25,0.09635,0.26812,0.01606,0.04348,39.18919,5.29578,29.0,43.0,14.06173,22.93827,6.11704,2.49511,2.63126
4,6,1.0,1.0,1.0,1.0,-0.0,0.25,0.0026,0.00775,0.00043,0.00775,74,0.0,74.0,88.0,0.62963,0.37037,0.46676,0.46676,1.58824
5,7,6.0,4.0,0.66667,3.0,1.25163,1.2,0.01562,0.04348,0.0026,0.02899,73,0.57735,72.0,87.0,2.07407,3.92593,2.72603,2.4208,2.89286
6,7,59.0,6.0,0.10169,20.0,4.17089,11.8,0.11523,0.35119,0.02426,0.03571,37.38983,5.98307,27.0,41.0,28.37037,30.62963,5.75055,3.52862,2.07963
7,8,27.0,4.0,0.14815,14.0,3.63397,13.5,0.10547,0.30337,0.01055,0.04494,36.44444,4.93914,28.0,42.0,11.16049,15.83951,4.74133,2.89983,2.41925
6,8,2.0,1.0,0.5,2.0,1.0,1.0,0.00781,0.02247,0.00082,0.01124,73.5,0.5,73.0,87.0,1.18519,0.81481,0.74846,0.52924,1.6875
