parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,49,1,2681,2721,90,49,57.0,23.0,0.40351,13.0,2.25132,19.0,0.14844,0.48305,0.02344,0.19492,39.59649,3.04849,28.0,42.0,7.03704,49.96296,18.83446,24.92394,8.1
1,2,21,1,2721,2749,49,52,35.0,21.0,0.6,12.0,2.32246,11.66667,0.09115,0.29661,0.01519,0.17797,40.28571,3.57428,29.0,43.0,8.33333,26.66667,9.2376,22.23361,4.2
0,2,22,1,2681,2749,90,52,3.0,2.0,0.66667,2.0,0.9183,1.0,0.00781,0.02419,0.00123,0.01613,72.33333,0.4714,72.0,87.0,0.69136,2.30864,2.77655,2.81374,4.33929
2,3,30,1,2749,2771,52,47,48.0,29.0,0.60417,9.0,2.07681,16.0,0.125,0.42105,0.02083,0.25439,39.8125,3.22527,31.0,43.0,8.22222,39.77778,13.87222,31.12914,5.83784
3,4,15,1,2771,2803,47,67,45.0,15.0,0.33333,15.0,3.33923,15.0,0.11719,0.39474,0.01953,0.13158,39.37778,4.66328,30.0,43.0,12.59259,32.40741,9.13244,15.55034,3.57353
2,4,0,0,2749,2803,52,67,2.0,1.0,0.5,2.0,1.0,0.66667,0.00521,0.01724,0.00087,0.00862,73.5,0.5,73.0,88.0,1.01235,0.98765,0.98161,1.34376,1.97561
4,5,29,1,2803,2841,67,95,63.0,25.0,0.39683,17.0,3.26735,15.75,0.16406,0.5431,0.02734,0.21552,39.5873,4.03018,28.0,43.0,21.62963,41.37037,8.89539,23.99691,2.91267
3,5,0,0,2771,2841,47,95,3.0,3.0,1.0,1.0,-0.0,0.75,0.00781,0.02632,0.0013,0.02632,74,0.0,74.0,88.0,1.18519,1.81481,1.66701,1.24399,2.53125
5,6,32,1,2841,2904,95,70,54.0,27.0,0.5,15.0,2.77995,13.5,0.10547,0.33962,0.0222,0.16981,39.27778,3.49824,30.0,42.0,13.07407,40.92593,11.31861,29.98614,4.13031
4,6,0,0,2803,2904,67,70,1.0,1.0,1.0,1.0,-0.0,0.25,0.0026,0.00862,0.00043,0.00862,74,0.0,74.0,88.0,0.34568,0.65432,1.1129,1.1129,2.89286
