feature,auc,auc_abs,direction,median_true,median_false
gap,0.045,0.955,low=true,43.0,87.0
alpha_mean,0.055,0.945,low=true,39.2957,73.6
alpha_min,0.057,0.943,low=true,28.5,73.0
excess_mass,0.931,0.931,high=true,50.4568,1.2346
poisson_z_total,0.929,0.929,high=true,11.8699,1.0598
mass_per_child_batch,0.926,0.926,high=true,15.2667,0.6667
poisson_z_max_cell,0.926,0.926,high=true,32.2866,1.0729
alpha_sd,0.924,0.924,high=true,3.9062,0.433
mass,0.921,0.921,high=true,66.0,2.0
mass_over_min_miss_mass,0.921,0.921,high=true,0.4739,0.0172
n_dist,0.92,0.92,high=true,16.0,2.0
mass_over_min_read_mass,0.919,0.919,high=true,0.151,0.0052
mass_over_evict_writes,0.912,0.912,high=true,0.0258,0.0009
exp_mass,0.911,0.911,high=true,12.7469,1.2593
max_cell,0.91,0.91,high=true,30.0,2.0
dist_entropy,0.91,0.91,high=true,2.5583,0.8113
max_cell_over_min_miss,0.894,0.894,high=true,0.2079,0.012
obs_over_exp,0.879,0.879,high=true,3.7092,1.8271
peak_frac,0.253,0.747,low=true,0.5,0.75
