det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
0,1,49,3865,3903,87,63,45
0,2,12,3865,3940,87,40,90
1,2,26,3903,3940,63,40,45
1,3,9,3903,3957,63,99,90
2,3,23,3940,3957,40,99,45
3,4,40,3957,4016,99,50,45
3,5,15,3957,4041,99,159,90
4,5,25,4016,4041,50,159,45
5,6,45,4041,4117,159,45,45
5,7,61,4041,4139,159,61,90
5,8,36,4041,4164,159,97,135
6,7,23,4117,4139,45,61,45
7,8,36,4139,4164,61,97,45
8,9,34,4164,4227,97,94,45
9,10,30,4227,4291,94,70,45
10,11,32,4291,4329,70,56,45
10,12,10,4291,4351,70,158,90
11,12,34,4329,4351,56,158,45
12,13,48,4351,4424,158,48,45
12,14,63,4351,4446,158,89,90
12,15,4,4351,4505,158,153,135
13,14,26,4424,4446,48,89,45
14,15,30,4446,4505,89,153,45
15,16,56,4505,4602,153,77,45
15,17,19,4505,4639,153,68,90
16,17,40,4602,4639,77,68,45
16,18,11,4602,4668,77,93,90
17,18,39,4639,4668,68,93,45
18,19,36,4668,4725,93,138,45
19,20,58,4725,4805,138,66,45
19,21,28,4725,4835,138,83,90
20,21,36,4805,4835,66,83,45
21,23,15,4835,4903,83,40,90
23,24,23,4903,4920,40,47,45
24,25,22,4920,4945,47,148,45
25,26,43,4945,5038,148,43,45
25,27,37,4945,5056,148,134,90
26,27,25,5038,5056,43,134,45
27,28,54,5056,5111,134,54,45
27,29,40,5056,5146,134,40,90
27,30,19,5056,5171,134,114,135
28,29,19,5111,5146,54,40,45
29,30,15,5146,5171,40,114,45
30,31,42,5171,5243,114,149,45
31,32,41,5243,5307,149,41,45
31,34,32,5243,5360,149,42,135
31,35,9,5243,5383,149,113,180
34,35,19,5360,5383,42,113,45
35,36,41,5383,5455,113,157,45
36,37,48,5455,5546,157,48,45
36,38,44,5455,5568,157,121,90
37,38,26,5546,5568,48,121,45
38,39,58,5568,5631,121,129,45
38,40,5,5568,5684,121,62,90
39,40,62,5631,5684,129,62,45
39,41,51,5631,5709,129,132,90
40,41,37,5684,5709,62,132,45
41,42,46,5709,5790,132,46,45
41,43,28,5709,5813,132,127,90
42,43,23,5790,5813,46,127,45
43,44,59,5813,5873,127,59,45
43,45,44,5813,5896,127,134,90
44,45,36,5873,5896,59,134,45
45,46,44,5896,5984,134,44,45
45,47,21,5896,6009,134,130,90
46,47,19,5984,6009,44,130,45
47,48,49,6009,6090,130,155,45
48,49,70,6090,6175,155,118,45
48,50,1,6090,6244,155,134,90
49,50,49,6175,6244,118,134,45
50,51,62,6244,6316,134,126,45
50,52,4,6244,6374,134,112,90
51,52,68,6316,6374,126,112,45
51,53,19,6316,6423,126,51,90
52,53,51,6374,6423,112,51,45
52,54,41,6374,6445,112,54,90
52,55,10,6374,6476,112,114,135
53,54,29,6423,6445,51,54,45
54,55,23,6445,6476,54,114,45
55,56,48,6476,6542,114,66,45
55,57,17,6476,6573,114,113,90
56,57,35,6542,6573,66,113,45
57,58,61,6573,6625,113,88,45
58,59,27,6625,6686,88,82,45
59,60,30,6686,6738,82,54,45
60,61,21,6738,6771,54,96,45
61,62,32,6771,6835,96,144,45
62,63,56,6835,6923,144,120,45
62,64,1,6835,6978,144,106,90
63,64,65,6923,6978,120,106,45
63,65,3,6923,7040,120,43,90
64,65,43,6978,7040,106,43,45
64,66,25,6978,7059,106,111,90
65,66,24,7040,7059,43,111,45
66,67,45,7059,7125,111,103,45
67,68,39,7125,7189,103,139,45
68,69,45,7189,7283,139,134,45
69,70,50,7283,7367,134,122,45
70,71,52,7367,7437,122,137,45
71,72,81,7437,7493,137,87,45
71,73,30,7437,7544,137,111,90
72,73,36,7493,7544,87,111,45
73,74,43,7544,7612,111,125,45
74,75,70,7612,7667,125,128,45
75,76,40,7667,7755,128,73,45
75,77,11,7667,7784,128,160,90
76,77,44,7755,7784,73,160,45
77,78,61,7784,7883,160,62,45
