parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,0,0,3254,2841,57,95,46.0,5.0,0.1087,19.0,4.10217,9.2,0.17969,0.49462,0.02114,0.05376,36.8913,5.1255,28.0,43.0,22.77778,23.22222,4.86573,3.04444,2.01951
1,2,0,0,2841,3070,95,68,30.0,5.0,0.16667,14.0,3.54926,7.5,0.05859,0.18519,0.01172,0.03086,37.33333,5.68819,28.0,41.0,12.4321,17.5679,4.9825,2.77655,2.41311
0,2,0,0,3254,3070,57,68,1.0,1.0,1.0,1.0,-0.0,0.25,0.00391,0.01075,0.00046,0.01075,73,0.0,73.0,88.0,0.34568,0.65432,1.1129,1.1129,2.89286
2,3,0,0,3070,3227,68,45,30.0,9.0,0.3,11.0,2.98527,10.0,0.07812,0.29412,0.01234,0.08824,40.36667,4.81998,29.0,42.0,7.90123,22.09877,7.86177,8.98146,3.79687
1,3,0,0,2841,3227,95,45,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.0098,0.00039,0.0098,73,0.0,73.0,86.0,0.66667,0.33333,0.40825,0.40825,1.5
3,4,0,0,3227,2803,45,67,62.0,13.0,0.20968,18.0,3.63693,15.5,0.16146,0.60784,0.02691,0.12745,41.33871,5.33081,30.0,43.0,18.7284,43.2716,9.99891,9.69184,3.31048
2,4,0,0,3070,2803,68,67,1.0,1.0,1.0,1.0,-0.0,0.25,0.00195,0.00645,0.00041,0.00645,73,0.0,73.0,87.0,0.28395,0.71605,1.34376,1.34376,3.52174
4,5,0,0,2803,3013,67,112,94.0,26.0,0.2766,19.0,3.41472,18.8,0.18359,0.60645,0.03865,0.16774,42.29787,5.41438,28.0,42.0,22.66667,71.33333,14.983,24.37959,4.14706
5,6,0,0,3013,3203,112,46,33.0,13.0,0.39394,13.0,3.04119,11.0,0.08594,0.29204,0.01289,0.11504,41.21212,5.77223,27.0,41.0,10.51852,22.48148,6.93183,13.3349,3.13732
4,6,0,0,2803,3203,67,46,2.0,1.0,0.5,2.0,1.0,0.66667,0.00521,0.0177,0.00082,0.00885,73.5,0.5,73.0,87.0,1.06173,0.93827,0.91059,1.1129,1.88372
6,7,0,0,3203,2951,46,94,1.0,1.0,1.0,1.0,-0.0,0.25,0.0026,0.00885,0.00043,0.00885,73,0.0,73.0,88.0,0.40741,0.59259,0.92841,0.92841,2.45455
7,8,0,0,2951,3157,94,113,82.0,19.0,0.23171,20.0,3.72103,13.66667,0.16016,0.46857,0.03372,0.10857,41.2561,6.14422,28.0,42.0,25.92593,56.07407,11.01273,13.98413,3.16286
