det_a,det_b,true_overlap,a_true_start,b_true_start,a_m,b_m,round_gap
1,4,3,4372,4258,59,117,135
1,11,36,4372,4347,59,61,450
1,33,19,4372,4412,59,93,1440
1,36,4,4372,4321,59,55,1575
2,29,53,3449,3374,53,144,1215
2,64,19,3449,3483,53,121,2880
3,5,53,4014,3926,139,141,90
3,46,55,4014,4098,139,113,1980
3,50,6,4014,4147,139,103,2160
4,11,28,4258,4347,117,61,315
4,36,54,4258,4321,117,55,1440
4,47,80,4258,4205,117,133,1980
5,72,31,3926,3871,141,86,3105
6,13,66,5845,5909,130,85,315
6,44,31,5845,5944,130,88,1755
6,76,64,5845,5759,130,150,3285
7,8,16,6347,6276,128,87,45
7,20,64,6347,6411,128,119,585
7,24,45,6347,6312,128,80,765
8,18,29,6276,6247,87,58,450
8,24,51,6276,6312,87,80,720
8,40,3,6276,6206,87,73,1485
9,31,51,4709,4774,116,142,990
9,55,38,4709,4664,116,83,2115
9,58,33,4709,4590,116,152,2250
10,16,6,5131,5247,122,76,270
10,25,67,5131,5186,122,127,675
10,62,63,5131,5061,122,133,2430
11,36,29,4347,4321,61,55,1125
12,72,45,3802,3871,114,86,2790
12,74,81,3802,3744,114,139,2880
13,44,50,5909,5944,85,88,1440
14,54,23,3284,3319,58,113,1845
14,69,27,3284,3254,58,57,2565
15,33,31,4474,4412,125,93,810
15,52,59,4474,4540,125,111,1710
15,58,9,4474,4590,125,152,1980
16,25,66,5247,5186,76,127,405
16,48,39,5247,5284,76,153,1485
17,38,24,4950,5000,74,125,945
17,68,66,4950,4869,74,147,2385
18,40,32,6247,6206,58,73,1035
18,59,16,6247,6117,58,146,1890
19,63,46,3157,3203,113,46,2070
19,66,43,3157,3227,113,45,2205
19,69,16,3157,3254,113,57,2340
20,21,38,6411,6492,119,134,45
21,57,76,6492,6550,134,155,1665
22,30,29,5420,5445,54,67,360
22,32,39,5420,5374,54,85,450
22,48,17,5420,5284,54,153,1215
23,35,21,2749,2721,52,49,540
23,61,30,2749,2771,52,47,1800
23,65,22,2749,2681,52,90,1980
25,48,29,5186,5284,127,153,1080
25,62,8,5186,5061,127,133,1755
28,43,18,6081,6040,69,59,720
28,59,33,6081,6117,69,146,1440
29,54,58,3374,3319,144,113,1170
29,64,35,3374,3483,144,121,1665
30,32,14,5445,5374,67,85,90
30,60,35,5445,5477,67,56,1395
30,71,3,5445,5509,67,90,1935
31,68,47,4774,4869,142,147,1755
32,48,63,5374,5284,85,153,765
34,76,27,5729,5759,57,150,2025
35,65,49,2721,2681,49,90,1440
36,47,17,4321,4205,55,133,540
38,62,64,5000,5061,125,133,1170
38,68,16,5000,4869,125,147,1440
39,45,47,6777,6713,91,111,315
40,59,57,6206,6117,73,146,855
41,71,41,5558,5509,151,90,1395
42,67,32,2841,2904,95,70,1170
45,49,64,6713,6626,111,151,180
46,47,6,4098,4205,113,133,45
46,50,64,4098,4147,113,103,180
47,50,45,4205,4147,133,103,135
49,57,79,6626,6550,151,155,360
51,53,55,3668,3604,127,119,90
51,74,51,3668,3744,127,139,1080
52,58,61,4540,4590,111,152,270
55,58,78,4664,4590,83,152,135
56,73,55,3070,3013,68,112,810
60,71,24,5477,5509,56,90,540
63,66,22,3203,3227,46,45,135
64,70,52,3483,3547,121,52,270
66,69,18,3227,3254,45,57,135
67,75,23,2904,2951,70,94,360
72,74,12,3871,3744,86,139,90
73,75,32,3013,2951,112,94,90
