parent,child,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
0,1,24.0,3.0,0.125,16.0,3.85539,8.0,0.0625,0.17647,0.00987,0.02206,40.20833,4.31064,31.0,43.0,13.44444,10.55556,2.87879,1.63299,1.78512
1,2,55.0,7.0,0.12727,22.0,4.23526,7.85714,0.14323,0.40441,0.02387,0.05147,36.70909,5.71337,27.0,42.0,25.55556,29.44444,5.82453,3.22039,2.15217
0,2,5.0,3.0,0.6,3.0,1.37095,0.71429,0.00977,0.02841,0.00206,0.01705,73.4,0.8,72.0,87.0,1.61728,3.38272,2.65994,2.98726,3.0916
2,3,71.0,6.0,0.08451,25.0,4.44048,14.2,0.11094,0.30342,0.02521,0.02564,37.95775,6.82257,26.0,40.0,33.55556,37.44444,6.46406,2.98726,2.11589
1,3,1.0,1.0,1.0,1.0,-0.0,0.2,0.0026,0.00735,0.00043,0.00735,74,0.0,74.0,88.0,0.75309,0.24691,0.28453,0.28453,1.32787
3,4,66.0,6.0,0.09091,23.0,4.33237,11.0,0.10312,0.28205,0.02578,0.02564,37.07576,5.77432,26.0,40.0,28.19753,37.80247,7.11893,4.72858,2.34063
2,4,11.0,5.0,0.45455,3.0,1.53948,1.83333,0.01432,0.04231,0.00391,0.01923,73.18182,0.8332,72.0,84.0,5.32099,5.67901,2.46194,2.96353,2.06729
4,5,46.0,5.0,0.1087,20.0,4.14565,15.33333,0.11979,0.42202,0.01711,0.04587,35.17391,6.09813,26.0,40.0,19.55556,26.44444,5.97998,3.69504,2.35227
3,5,5.0,3.0,0.6,2.0,0.97095,1.66667,0.01302,0.04587,0.00195,0.02752,72.2,0.9798,71.0,85.0,2.12346,2.87654,1.97401,1.33682,2.35465
5,6,43.0,6.0,0.13953,18.0,3.89047,10.75,0.11198,0.3945,0.01866,0.05505,38.90698,5.66431,30.0,44.0,19.96296,23.03704,5.15601,3.83334,2.15399
