episode,iou,target_visible,raw_m,batches_det,batches_true,m_current,m_fix_span,m_fix_series,m_fix_both,m_ideal_own_mass,err_current,err_fix_span,err_fix_series,err_fix_both,err_own_mass
0,0.667,76,81,3,2,65.0,49.0,74.0,57.0,76,0.1447,0.3553,0.0263,0.25,0.0
2,0.5,78,82,4,2,67.0,55.0,64.0,53.0,79,0.141,0.2949,0.1795,0.3205,0.0128
3,0.5,76,76,4,2,66.0,58.0,63.0,57.0,76,0.1316,0.2368,0.1711,0.25,0.0
5,0.333,53,53,3,1,50.0,34.5,52.0,33.0,53,0.0566,0.3491,0.0189,0.3774,0.0
6,0.4,102,114,5,2,81.0,54.0,90.0,61.0,103,0.2059,0.4706,0.1176,0.402,0.0098
7,0.5,69,73,4,3,75.0,60.0,74.0,58.0,69,0.087,0.1304,0.0725,0.1594,0.0
8,0.333,54,55,3,1,46.5,28.0,56.0,33.5,54,0.1389,0.4815,0.037,0.3796,0.0
9,0.429,136,144,7,3,139.0,89.0,148.0,93.0,140,0.0221,0.3456,0.0882,0.3162,0.0294
10,0.5,87,88,4,2,72.0,59.0,71.0,57.0,87,0.1724,0.3218,0.1839,0.3448,0.0
11,0.667,108,114,3,2,63.0,58.0,71.0,61.0,108,0.4167,0.463,0.3426,0.4352,0.0
12,0.5,78,82,3,2,47.0,49.0,48.0,49.0,78,0.3974,0.3718,0.3846,0.3718,0.0
13,0.4,93,99,5,2,95.0,55.0,102.0,60.0,94,0.0215,0.4086,0.0968,0.3548,0.0108
14,0.5,78,78,4,2,61.0,56.0,66.0,58.0,77,0.2179,0.2821,0.1538,0.2564,0.0128
15,0.4,94,99,5,3,94.0,55.0,97.0,54.0,95,0.0,0.4149,0.0319,0.4255,0.0106
16,0.4,67,68,4,2,70.0,53.0,64.0,51.0,68,0.0448,0.209,0.0448,0.2388,0.0149
17,0.5,77,80,4,2,59.0,52.0,58.0,51.0,76,0.2338,0.3247,0.2468,0.3377,0.013
18,0.333,50,50,3,1,57.0,36.0,55.0,33.0,50,0.14,0.28,0.1,0.34,0.0
19,0.5,69,69,4,2,74.0,55.0,69.0,52.0,69,0.0725,0.2029,0.0,0.2464,0.0
20,0.5,80,84,4,2,67.0,55.0,76.0,58.0,80,0.1625,0.3125,0.05,0.275,0.0
21,0.4,80,81,5,2,78.0,57.0,85.0,59.0,80,0.025,0.2875,0.0625,0.2625,0.0
22,0.4,96,100,5,2,81.5,59.0,94.0,60.0,98,0.151,0.3854,0.0208,0.375,0.0208
23,0.333,118,122,6,2,110.0,61.0,120.0,67.0,117,0.0678,0.4831,0.0169,0.4322,0.0085
24,0.667,80,83,3,2,51.0,51.0,53.5,54.0,81,0.3625,0.3625,0.3312,0.325,0.0125
25,0.5,75,76,4,2,71.0,56.0,73.0,58.0,75,0.0533,0.2533,0.0267,0.2267,0.0
26,0.333,115,117,6,2,120.0,66.0,118.0,70.0,117,0.0435,0.4261,0.0261,0.3913,0.0174
27,0.5,76,77,4,2,75.0,56.0,79.0,56.0,76,0.0132,0.2632,0.0395,0.2632,0.0
28,0.429,149,157,7,4,150.0,87.0,148.0,103.0,148,0.0067,0.4161,0.0067,0.3087,0.0067
30,0.333,126,128,6,3,109.0,75.0,115.0,75.0,127,0.1349,0.4048,0.0873,0.4048,0.0079
31,0.667,82,85,3,2,57.0,44.0,63.5,49.0,81,0.3049,0.4634,0.2256,0.4024,0.0122
32,0.333,51,51,3,1,45.0,29.0,50.0,31.0,51,0.1176,0.4314,0.0196,0.3922,0.0
33,0.333,52,53,3,1,48.0,33.0,53.0,32.0,53,0.0769,0.3654,0.0192,0.3846,0.0192
34,0.5,84,85,4,2,76.0,63.0,84.0,66.0,84,0.0952,0.25,0.0,0.2143,0.0
35,0.5,87,87,4,2,69.0,57.0,78.0,58.0,87,0.2069,0.3448,0.1034,0.3333,0.0
36,0.4,112,128,5,2,94.0,49.0,105.0,60.0,114,0.1607,0.5625,0.0625,0.4643,0.0179
37,0.5,116,123,4,2,96.0,62.0,103.0,67.0,117,0.1724,0.4655,0.1121,0.4224,0.0086
38,0.6,141,151,5,3,115.0,76.0,131.0,90.0,142,0.1844,0.461,0.0709,0.3617,0.0071
39,0.333,127,127,6,2,118.0,69.0,130.0,74.0,127,0.0709,0.4567,0.0236,0.4173,0.0
40,0.4,85,86,4,2,78.0,60.0,75.0,58.0,85,0.0824,0.2941,0.1176,0.3176,0.0
41,0.5,101,101,4,2,80.0,69.0,76.0,65.0,101,0.2079,0.3168,0.2475,0.3564,0.0
42,0.333,53,53,3,1,45.0,38.0,44.0,36.0,53,0.1509,0.283,0.1698,0.3208,0.0
43,0.4,92,92,5,2,103.0,63.0,106.0,66.0,92,0.1196,0.3152,0.1522,0.2826,0.0
44,0.5,83,86,4,2,63.0,52.0,69.0,56.0,83,0.241,0.3735,0.1687,0.3253,0.0
45,0.667,63,69,3,2,50.0,50.0,54.0,52.0,64,0.2063,0.2063,0.1429,0.1746,0.0159
46,0.5,87,89,4,2,20.0,8.0,76.0,61.0,87,0.7701,0.908,0.1264,0.2989,0.0
47,0.5,96,102,3,2,67.0,53.0,80.0,63.0,95,0.3021,0.4479,0.1667,0.3438,0.0104
48,0.5,67,68,3,2,53.0,52.0,54.5,55.0,67,0.209,0.2239,0.1866,0.1791,0.0
49,0.5,77,78,4,2,70.0,55.0,73.0,58.0,77,0.0909,0.2857,0.0519,0.2468,0.0
50,0.5,86,88,4,2,80.0,60.0,79.0,58.0,87,0.0698,0.3023,0.0814,0.3256,0.0116
51,0.5,89,90,4,2,91.0,68.0,81.0,63.0,90,0.0225,0.236,0.0899,0.2921,0.0112
52,0.5,76,78,4,2,59.0,49.0,66.0,54.0,76,0.2237,0.3553,0.1316,0.2895,0.0
53,0.5,49,51,2,1,50.0,29.0,48.0,29.5,49,0.0204,0.4082,0.0204,0.398,0.0
54,0.667,62,65,3,2,51.0,49.0,53.0,52.0,63,0.1774,0.2097,0.1452,0.1613,0.0161
55,0.5,64,68,4,2,58.0,46.0,62.0,50.0,64,0.0938,0.2812,0.0312,0.2188,0.0
56,0.5,63,66,4,2,61.0,49.0,67.0,56.0,63,0.0317,0.2222,0.0635,0.1111,0.0
57,0.429,135,140,5,4,98.0,88.0,104.0,88.0,133,0.2741,0.3481,0.2296,0.3481,0.0148
58,0.4,115,117,5,2,106.5,68.0,110.0,66.0,115,0.0739,0.4087,0.0435,0.4261,0.0
59,0.5,98,98,4,2,86.0,70.0,86.0,69.0,98,0.1224,0.2857,0.1224,0.2959,0.0
60,0.4,97,97,5,2,104.0,63.0,103.0,61.0,97,0.0722,0.3505,0.0619,0.3711,0.0
61,0.4,107,117,5,2,110.0,58.0,118.0,62.0,107,0.028,0.4579,0.1028,0.4206,0.0
62,0.5,145,159,5,3,98.5,73.5,124.0,93.0,148,0.3207,0.4931,0.1448,0.3586,0.0207
63,0.5,84,86,4,2,70.0,60.0,70.0,57.0,85,0.1667,0.2857,0.1667,0.3214,0.0119
65,0.667,97,101,3,2,66.0,55.0,84.0,66.0,98,0.3196,0.433,0.134,0.3196,0.0103
66,0.667,64,66,3,2,47.0,44.0,45.0,45.0,66,0.2656,0.3125,0.2969,0.2969,0.0312
67,0.5,44,50,2,1,37.0,25.0,41.0,25.5,44,0.1591,0.4318,0.0682,0.4205,0.0
68,0.4,75,75,5,2,74.0,54.0,68.0,50.0,75,0.0133,0.28,0.0933,0.3333,0.0
69,0.5,128,135,6,3,105.0,81.0,117.0,92.0,130,0.1797,0.3672,0.0859,0.2812,0.0156
70,0.333,60,60,3,1,54.0,32.0,56.0,34.0,60,0.1,0.4667,0.0667,0.4333,0.0
71,0.5,69,70,4,2,70.0,62.0,66.0,60.0,69,0.0145,0.1014,0.0435,0.1304,0.0
72,0.667,108,115,3,2,78.0,57.0,83.0,62.0,109,0.2778,0.4722,0.2315,0.4259,0.0093
73,0.333,54,58,3,1,37.5,31.0,40.0,31.0,54,0.3056,0.4259,0.2593,0.4259,0.0
74,0.4,98,100,5,2,101.0,61.0,111.0,68.0,99,0.0306,0.3776,0.1327,0.3061,0.0102
75,0.333,101,110,5,3,87.0,60.0,90.0,63.0,105,0.1386,0.4059,0.1089,0.3762,0.0396
76,0.5,126,135,6,3,120.0,86.0,125.0,86.0,128,0.0476,0.3175,0.0079,0.3175,0.0159
