episode,iou,target_visible,raw_m,batches_det,batches_true,m_current,m_fix_span,m_fix_series,m_fix_both,m_ideal_own_mass,err_current,err_fix_span,err_fix_series,err_fix_both,err_own_mass,m_saturation,err_saturation,m_integrate,win_len,err_integrate
0,0.4,94,99,5,2,91.0,52.0,105.0,62.0,94,0.0319,0.4468,0.117,0.3404,0.0,153.4,0.6319,91.0,5,0.0319
1,0.333,47,50,3,1,54.0,35.0,49.0,31.5,47,0.1489,0.2553,0.0426,0.3298,0.0,91.0,0.9368,58.0,7,0.234
2,0.5,84,84,4,2,62.0,56.0,65.0,55.0,84,0.2619,0.3333,0.2262,0.3452,0.0,116.3,0.3841,72.0,5,0.1429
3,0.333,52,61,3,1,58.0,22.0,59.0,26.0,52,0.1154,0.5769,0.1346,0.5,0.0,100.6,0.9355,65.0,4,0.25
4,0.333,49,50,3,1,40.0,29.0,36.0,27.0,50,0.1837,0.4082,0.2653,0.449,0.0204,69.4,0.4166,54.0,6,0.102
5,0.333,51,52,3,1,47.0,30.0,45.0,30.0,51,0.0784,0.4118,0.1176,0.4118,0.0,81.6,0.5992,62.0,8,0.2157
6,0.5,71,74,4,2,73.0,59.0,72.0,58.0,71,0.0282,0.169,0.0141,0.1831,0.0,126.4,0.7807,77.0,5,0.0845
7,0.5,88,89,4,2,79.0,63.0,78.0,63.0,88,0.1023,0.2841,0.1136,0.2841,0.0,133.2,0.5133,103.0,8,0.1705
8,0.5,74,76,4,2,73.0,57.0,73.0,58.0,74,0.0135,0.2297,0.0135,0.2162,0.0,123.1,0.6629,73.0,4,0.0135
9,0.4,79,83,5,2,70.0,47.0,79.0,53.0,79,0.1139,0.4051,0.0,0.3291,0.0,128.4,0.6255,70.0,5,0.1139
10,0.667,71,72,3,2,53.0,51.0,60.0,57.0,71,0.2535,0.2817,0.1549,0.1972,0.0,92.0,0.2954,69.0,4,0.0282
11,0.5,85,88,4,3,90.0,55.0,93.0,58.0,84,0.0588,0.3529,0.0941,0.3176,0.0118,156.2,0.8374,105.0,10,0.2353
13,0.333,49,51,3,1,38.0,29.0,43.0,29.5,49,0.2245,0.4082,0.1224,0.398,0.0,74.6,0.5228,40.0,5,0.1837
15,0.5,91,93,4,2,72.0,58.0,79.0,64.0,92,0.2088,0.3626,0.1319,0.2967,0.011,123.1,0.3523,82.0,5,0.0989
16,0.4,76,81,4,2,61.0,39.0,71.0,50.0,75,0.1974,0.4868,0.0658,0.3421,0.0132,105.9,0.3928,65.0,5,0.1447
17,0.4,101,108,4,2,85.0,55.0,92.0,61.0,102,0.1584,0.4554,0.0891,0.396,0.0099,143.3,0.4187,97.0,6,0.0396
19,0.333,54,54,3,1,48.0,34.0,47.0,32.0,54,0.1111,0.3704,0.1296,0.4074,0.0,83.3,0.5425,51.0,4,0.0556
20,0.5,103,111,4,2,85.0,55.0,95.0,62.0,104,0.1748,0.466,0.0777,0.3981,0.0097,143.3,0.3911,95.0,5,0.0777
21,0.333,55,59,3,1,60.0,31.0,61.0,33.0,55,0.0909,0.4364,0.1091,0.4,0.0,101.1,0.839,66.0,4,0.2
22,0.333,108,113,6,2,99.0,60.0,105.0,65.0,109,0.0833,0.4444,0.0278,0.3981,0.0093,166.9,0.5452,99.0,6,0.0833
23,0.375,142,151,6,3,139.0,82.0,143.0,88.0,143,0.0211,0.4225,0.007,0.3803,0.007,241.2,0.6986,142.0,7,0.0
24,0.429,126,129,7,4,136.0,87.0,129.0,85.0,126,0.0794,0.3095,0.0238,0.3254,0.0,236.0,0.873,136.0,7,0.0794
25,0.429,138,148,7,3,128.0,69.0,148.0,82.0,139,0.0725,0.5,0.0725,0.4058,0.0072,217.5,0.5758,132.0,8,0.0435
27,0.667,72,76,3,2,45.0,46.0,41.0,44.0,73,0.375,0.3611,0.4306,0.3889,0.0139,79.8,0.1087,81.0,10,0.125
28,0.667,68,70,3,2,39.0,42.0,39.5,45.0,68,0.4265,0.3824,0.4191,0.3382,0.0,70.8,0.0412,50.0,6,0.2647
30,0.4,78,79,5,2,97.0,64.0,96.0,62.0,79,0.2436,0.1795,0.2308,0.2051,0.0128,165.2,1.1179,106.0,6,0.359
31,0.4,96,106,3,2,74.0,60.0,72.0,58.0,96,0.2292,0.375,0.25,0.3958,0.0,124.7,0.2994,107.0,9,0.1146
32,0.4,83,88,5,2,75.0,49.0,79.0,57.0,83,0.0964,0.4096,0.0482,0.3133,0.0,126.4,0.5232,81.0,6,0.0241
33,0.667,72,72,3,2,49.0,51.0,54.0,57.0,72,0.3194,0.2917,0.25,0.2083,0.0,88.5,0.2292,64.0,6,0.1111
34,0.333,50,50,3,1,54.0,34.0,51.0,32.0,50,0.08,0.32,0.02,0.36,0.0,93.7,0.8741,76.0,10,0.52
