hist,d,eps,k,joint_bits,independent_bits,bits_saved_by_links,bits_per_episode,truth_survives,chains_scored,chains_skipped_cap
uniform,100,0.125,1,6.61,6.61,0.0,6.61,0.933,30,0
uniform,100,0.125,2,10.91,14.1,3.19,5.45,0.9,30,0
uniform,100,0.125,3,14.53,20.78,6.26,4.84,0.833,30,0
uniform,100,0.125,4,18.06,28.05,9.98,4.52,0.833,30,0
uniform,100,0.125,5,21.87,34.91,13.03,4.37,0.833,30,0
uniform,100,0.125,6,25.61,41.9,16.29,4.27,0.833,30,0
uniform,1000,0.125,1,13.59,13.59,0.0,13.59,0.895,19,11
uniform,1000,0.125,2,23.99,27.08,3.09,11.99,0.895,19,11
uniform,1000,0.125,3,34.41,40.53,6.13,11.47,0.895,19,11
uniform,1000,0.125,4,43.91,53.71,9.8,10.98,0.895,19,11
uniform,1000,0.125,5,54.35,67.58,13.23,10.87,0.895,19,11
uniform,1000,0.125,6,64.53,80.81,16.29,10.75,0.737,19,11
uniform,10000,0.125,1,,,,,,0,30
uniform,10000,0.125,2,,,,,,0,30
uniform,10000,0.125,3,,,,,,0,30
uniform,10000,0.125,4,,,,,,0,30
uniform,10000,0.125,5,,,,,,0,30
uniform,10000,0.125,6,,,,,,0,30
census_age,100,0.125,1,6.53,6.53,0.0,6.53,0.967,30,0
census_age,100,0.125,2,9.81,12.88,3.06,4.91,0.967,30,0
census_age,100,0.125,3,12.66,19.44,6.78,4.22,0.967,30,0
census_age,100,0.125,4,15.48,25.77,10.29,3.87,0.933,30,0
census_age,100,0.125,5,18.72,32.2,13.48,3.74,0.833,30,0
census_age,100,0.125,6,22.02,38.05,16.03,3.67,0.8,30,0
census_age,1000,0.125,1,13.25,13.25,0.0,13.25,0.967,30,0
census_age,1000,0.125,2,23.23,26.07,2.84,11.61,0.933,30,0
census_age,1000,0.125,3,33.44,39.33,5.89,11.15,0.933,30,0
census_age,1000,0.125,4,43.98,52.61,8.63,11.0,0.867,30,0
census_age,1000,0.125,5,53.42,64.99,11.57,10.68,0.833,30,0
census_age,1000,0.125,6,64.4,78.06,13.66,10.73,0.733,30,0
census_age,10000,0.125,1,,,,,,0,30
census_age,10000,0.125,2,,,,,,0,30
census_age,10000,0.125,3,,,,,,0,30
census_age,10000,0.125,4,,,,,,0,30
census_age,10000,0.125,5,,,,,,0,30
census_age,10000,0.125,6,,,,,,0,30
zipf,100,0.125,1,6.0,6.0,0.0,6.0,0.833,30,0
zipf,100,0.125,2,9.05,11.78,2.73,4.52,0.833,30,0
zipf,100,0.125,3,12.6,17.81,5.21,4.2,0.833,30,0
zipf,100,0.125,4,15.76,24.02,8.26,3.94,0.767,30,0
zipf,100,0.125,5,18.91,30.24,11.33,3.78,0.767,30,0
zipf,100,0.125,6,22.49,36.32,13.83,3.75,0.733,30,0
zipf,1000,0.125,1,12.82,12.82,0.0,12.82,0.967,30,0
zipf,1000,0.125,2,22.41,25.13,2.72,11.2,0.933,30,0
zipf,1000,0.125,3,32.8,38.19,5.4,10.93,0.9,30,0
zipf,1000,0.125,4,42.8,50.91,8.11,10.7,0.867,30,0
zipf,1000,0.125,5,52.28,63.32,11.04,10.46,0.867,30,0
zipf,1000,0.125,6,62.55,75.91,13.36,10.43,0.867,30,0
zipf,10000,0.125,1,,,,,,0,30
zipf,10000,0.125,2,,,,,,0,30
zipf,10000,0.125,3,,,,,,0,30
zipf,10000,0.125,4,,,,,,0,30
zipf,10000,0.125,5,,,,,,0,30
zipf,10000,0.125,6,,,,,,0,30
lognormal,100,0.125,1,5.48,5.48,0.0,5.48,0.9,30,0
lognormal,100,0.125,2,8.59,11.15,2.55,4.3,0.833,30,0
lognormal,100,0.125,3,11.85,16.75,4.9,3.95,0.767,30,0
lognormal,100,0.125,4,14.81,22.33,7.51,3.7,0.767,30,0
lognormal,100,0.125,5,17.92,27.81,9.88,3.58,0.733,30,0
lognormal,100,0.125,6,19.99,33.33,13.34,3.33,0.7,30,0
lognormal,1000,0.125,1,12.12,12.12,0.0,12.12,0.933,30,0
lognormal,1000,0.125,2,22.1,24.2,2.09,11.05,0.933,30,0
lognormal,1000,0.125,3,32.24,36.1,3.86,10.75,0.867,30,0
lognormal,1000,0.125,4,42.52,47.95,5.44,10.63,0.8,30,0
lognormal,1000,0.125,5,51.6,59.89,8.29,10.32,0.8,30,0
lognormal,1000,0.125,6,61.52,71.82,10.29,10.25,0.8,30,0
lognormal,10000,0.125,1,,,,,,0,30
lognormal,10000,0.125,2,,,,,,0,30
lognormal,10000,0.125,3,,,,,,0,30
lognormal,10000,0.125,4,,,,,,0,30
lognormal,10000,0.125,5,,,,,,0,30
lognormal,10000,0.125,6,,,,,,0,30
