hist,d,eps,k,joint_bits,independent_bits,bits_saved_by_links,bits_per_episode,truth_survives,chains_scored,chains_skipped_cap
uniform,100,0.125,1,7.52,7.52,0.0,7.52,0.95,20,0
uniform,100,0.125,2,10.85,14.17,3.32,5.43,0.9,20,0
uniform,100,0.125,3,15.21,21.24,6.03,5.07,0.8,20,0
uniform,100,0.125,4,18.75,28.29,9.54,4.69,0.75,20,0
uniform,1000,0.125,1,13.78,13.78,0.0,13.78,0.929,14,6
uniform,1000,0.125,2,24.3,27.36,3.06,12.15,0.857,14,6
uniform,1000,0.125,3,34.81,40.96,6.14,11.6,0.857,14,6
uniform,1000,0.125,4,45.62,54.8,9.18,11.41,0.857,14,6
census_age,100,0.125,1,6.88,6.88,0.0,6.88,0.9,20,0
census_age,100,0.125,2,10.34,13.43,3.08,5.17,0.9,20,0
census_age,100,0.125,3,13.71,20.12,6.41,4.57,0.9,20,0
census_age,100,0.125,4,17.6,26.91,9.31,4.4,0.9,20,0
census_age,1000,0.125,1,13.31,13.31,0.0,13.31,1.0,20,0
census_age,1000,0.125,2,23.32,26.38,3.06,11.66,1.0,20,0
census_age,1000,0.125,3,32.73,39.29,6.56,10.91,0.85,20,0
census_age,1000,0.125,4,43.4,52.41,9.01,10.85,0.85,20,0
zipf,100,0.125,1,6.44,6.44,0.0,6.44,0.95,20,0
zipf,100,0.125,2,8.75,11.9,3.15,4.38,0.9,20,0
zipf,100,0.125,3,12.34,18.16,5.82,4.11,0.9,20,0
zipf,100,0.125,4,15.67,24.33,8.66,3.92,0.8,20,0
zipf,1000,0.125,1,12.48,12.48,0.0,12.48,0.9,20,0
zipf,1000,0.125,2,22.6,25.11,2.51,11.3,0.8,20,0
zipf,1000,0.125,3,32.29,37.34,5.06,10.76,0.8,20,0
zipf,1000,0.125,4,42.46,49.57,7.11,10.62,0.8,20,0
lognormal,100,0.125,1,5.44,5.44,0.0,5.44,0.95,20,0
lognormal,100,0.125,2,8.85,10.92,2.08,4.42,0.9,20,0
lognormal,100,0.125,3,12.42,16.34,3.92,4.14,0.85,20,0
lognormal,100,0.125,4,15.57,21.76,6.19,3.89,0.8,20,0
lognormal,1000,0.125,1,12.12,12.12,0.0,12.12,0.95,20,0
lognormal,1000,0.125,2,22.34,24.03,1.7,11.17,0.8,20,0
lognormal,1000,0.125,3,31.85,36.22,4.37,10.62,0.7,20,0
lognormal,1000,0.125,4,42.35,48.04,5.68,10.59,0.7,20,0
