case,hist,d,eps,bias,modelled_bias,width_prior,aux_sample_frac,aux_smooth,aux_shift,n_ranges_total,median_candidates,median_bits,p25_candidates,p75_candidates,frac_unique,coverage,pair_median_bits,pair_probes_over_cap,single_median_bits_x2
A_ceiling,uniform,100,0.08,0.0,0.0,1,0.0,1,0.0,5050,96.0,6.58,93,98,0.0,0.9417,10.04,0,13.17
A_ceiling,uniform,100,0.048,0.0,0.0,1,0.0,1,0.0,5050,95.0,6.57,92,97,0.0,0.9083,9.91,0,13.14
A_ceiling,uniform,100,0.125,0.0,0.0,1,0.0,1,0.0,5050,99.0,6.63,97,187,0.0,0.9583,11.38,0,13.26
A_ceiling,uniform,1000,0.08,0.0,0.0,1,0.0,1,0.0,500500,8514.0,13.06,6328,11166,0.0,0.9833,23.15,0,26.11
A_ceiling,uniform,1000,0.048,0.0,0.0,1,0.0,1,0.0,500500,4760.0,12.22,2937,6510,0.0,0.95,21.18,0,24.43
A_ceiling,uniform,1000,0.125,0.0,0.0,1,0.0,1,0.0,500500,13216.0,13.69,8676,17556,0.0,0.9583,23.92,3,27.38
A_ceiling,census_age,100,0.08,0.0,0.0,1,0.0,1,0.0,5050,72.0,6.17,37,79,0.0,0.9667,8.88,0,12.34
A_ceiling,census_age,100,0.048,0.0,0.0,1,0.0,1,0.0,5050,45.5,5.51,16,55,0.0083,0.9833,8.09,0,11.02
A_ceiling,census_age,100,0.125,0.0,0.0,1,0.0,1,0.0,5050,90.0,6.49,46,111,0.0,0.925,9.68,0,12.98
A_ceiling,census_age,1000,0.08,0.0,0.0,1,0.0,1,0.0,500500,6275.0,12.62,4504,7562,0.0,0.9833,22.07,0,25.23
A_ceiling,census_age,1000,0.048,0.0,0.0,1,0.0,1,0.0,500500,3323.5,11.7,2588,4424,0.0,0.9583,20.25,0,23.4
A_ceiling,census_age,1000,0.125,0.0,0.0,1,0.0,1,0.0,500500,8325.0,13.02,5683,10493,0.0,0.9417,22.99,0,26.05
A_ceiling,zipf,100,0.08,0.0,0.0,1,0.0,1,0.0,5050,35.5,5.15,22,55,0.0,0.9417,8.01,0,10.3
A_ceiling,zipf,100,0.048,0.0,0.0,1,0.0,1,0.0,5050,25.5,4.67,15,36,0.0083,0.9833,6.81,0,9.34
A_ceiling,zipf,100,0.125,0.0,0.0,1,0.0,1,0.0,5050,66.5,6.06,36,88,0.0,0.9667,9.23,0,12.11
A_ceiling,zipf,1000,0.08,0.0,0.0,1,0.0,1,0.0,500500,3475.5,11.76,2192,4964,0.0,0.9417,21.24,0,23.53
A_ceiling,zipf,1000,0.048,0.0,0.0,1,0.0,1,0.0,500500,2577.5,11.33,1392,3286,0.0,0.9583,19.7,0,22.66
A_ceiling,zipf,1000,0.125,0.0,0.0,1,0.0,1,0.0,500500,6190.5,12.6,3635,8957,0.0,0.925,22.58,0,25.19
A_ceiling,lognormal,100,0.08,0.0,0.0,1,0.0,1,0.0,5050,28.0,4.81,24,32,0.0,0.975,7.6,0,9.61
A_ceiling,lognormal,100,0.048,0.0,0.0,1,0.0,1,0.0,5050,17.0,4.09,15,20,0.0,0.95,6.11,0,8.17
A_ceiling,lognormal,100,0.125,0.0,0.0,1,0.0,1,0.0,5050,45.0,5.49,37,52,0.0,0.9333,8.9,0,10.98
A_ceiling,lognormal,1000,0.08,0.0,0.0,1,0.0,1,0.0,500500,2524.0,11.3,2204,2972,0.0,0.95,20.28,0,22.6
A_ceiling,lognormal,1000,0.048,0.0,0.0,1,0.0,1,0.0,500500,1504.0,10.55,1436,1795,0.0,0.95,19.46,0,21.11
A_ceiling,lognormal,1000,0.125,0.0,0.0,1,0.0,1,0.0,500500,3906.5,11.93,3424,4590,0.0,0.9583,22.13,0,23.86
B_no_width_prior,uniform,100,0.125,0.0,0.0,0,0.0,1,0.0,5050,99.0,6.63,97,185,0.0,0.9167,9.86,0,13.26
B_no_width_prior,uniform,1000,0.125,0.0,0.0,0,0.0,1,0.0,500500,13682.5,13.74,8658,17632,0.0,0.9417,23.52,9,27.48
B_no_width_prior,census_age,100,0.125,0.0,0.0,0,0.0,1,0.0,5050,131.5,7.04,94,192,0.0,0.8833,11.76,0,14.08
B_no_width_prior,census_age,1000,0.125,0.0,0.0,0,0.0,1,0.0,500500,12887.5,13.65,8387,19432,0.0,0.95,24.73,14,27.31
B_no_width_prior,zipf,100,0.125,0.0,0.0,0,0.0,1,0.0,5050,128.5,7.01,83,261,0.0,0.9583,12.19,0,14.01
B_no_width_prior,zipf,1000,0.125,0.0,0.0,0,0.0,1,0.0,500500,14450.5,13.82,9329,23306,0.0,0.9917,23.47,19,27.64
B_no_width_prior,lognormal,100,0.125,0.0,0.0,0,0.0,1,0.0,5050,154.5,7.27,88,262,0.0,0.9667,12.93,0,14.54
B_no_width_prior,lognormal,1000,0.125,0.0,0.0,0,0.0,1,0.0,500500,18254.0,14.16,8729,23886,0.0,0.975,23.6,20,28.31
C_public_aux,uniform,100,0.125,0.0,0.0,1,0.02,2,0.1,5050,129.5,7.02,95,183,0.0,0.825,10.85,0,14.03
C_public_aux,uniform,1000,0.125,0.0,0.0,1,0.02,2,0.1,500500,14152.5,13.79,9784,17101,0.0,0.8167,24.42,0,27.58
C_public_aux,census_age,100,0.125,0.0,0.0,1,0.02,2,0.1,5050,87.0,6.44,72,113,0.0,0.7583,9.78,0,12.89
C_public_aux,census_age,1000,0.125,0.0,0.0,1,0.02,2,0.1,500500,10243.5,13.32,6027,11417,0.0,0.7083,23.15,0,26.64
C_public_aux,zipf,100,0.125,0.0,0.0,1,0.02,2,0.1,5050,55.0,5.78,34,81,0.0,0.825,8.48,0,11.56
C_public_aux,zipf,1000,0.125,0.0,0.0,1,0.02,2,0.1,500500,5905.0,12.53,2880,9771,0.0,0.625,22.47,0,25.06
C_public_aux,lognormal,100,0.125,0.0,0.0,1,0.02,2,0.1,5050,42.0,5.39,37,57,0.0,0.7333,8.6,0,10.78
C_public_aux,lognormal,1000,0.125,0.0,0.0,1,0.02,2,0.1,500500,3668.5,11.84,3206,5106,0.0,0.6167,22.09,0,23.68
D_unmodelled_bias,uniform,100,0.125,0.1,0.0,1,0.0,1,0.0,5050,183.0,7.52,97,187,0.0,0.6333,10.78,0,15.03
D_unmodelled_bias,uniform,1000,0.125,0.1,0.0,1,0.0,1,0.0,500500,12786.0,13.64,7740,16695,0.0,0.5667,23.65,6,27.28
D_unmodelled_bias,census_age,100,0.125,0.1,0.0,1,0.0,1,0.0,5050,86.0,6.43,30,103,0.0,0.5417,8.71,0,12.85
D_unmodelled_bias,census_age,1000,0.125,0.1,0.0,1,0.0,1,0.0,500500,9238.0,13.17,6748,11419,0.0,0.65,23.19,0,26.35
D_unmodelled_bias,zipf,100,0.125,0.1,0.0,1,0.0,1,0.0,5050,63.5,5.99,38,94,0.0,0.5583,9.39,0,11.98
D_unmodelled_bias,zipf,1000,0.125,0.1,0.0,1,0.0,1,0.0,500500,6152.0,12.59,3197,8864,0.0,0.575,22.35,0,25.17
D_unmodelled_bias,lognormal,100,0.125,0.1,0.0,1,0.0,1,0.0,5050,45.0,5.49,36,52,0.0,0.5167,8.57,0,10.98
D_unmodelled_bias,lognormal,1000,0.125,0.1,0.0,1,0.0,1,0.0,500500,3852.0,11.91,3405,4536,0.0,0.6333,21.97,0,23.82
E_modelled_bias,uniform,100,0.125,0.1,0.1,1,0.0,1,0.0,5050,99.0,6.63,97,185,0.0,0.9333,11.25,0,13.26
E_modelled_bias,uniform,1000,0.125,0.1,0.1,1,0.0,1,0.0,500500,14968.0,13.87,10494,17556,0.0,0.9583,24.24,3,27.74
E_modelled_bias,census_age,100,0.125,0.1,0.1,1,0.0,1,0.0,5050,95.0,6.57,86,114,0.0,0.95,9.63,0,13.14
E_modelled_bias,census_age,1000,0.125,0.1,0.1,1,0.0,1,0.0,500500,8654.5,13.08,4804,11191,0.0,0.9667,23.45,0,26.16
E_modelled_bias,zipf,100,0.125,0.1,0.1,1,0.0,1,0.0,5050,66.0,6.04,39,89,0.0,0.9417,9.33,0,12.09
E_modelled_bias,zipf,1000,0.125,0.1,0.1,1,0.0,1,0.0,500500,6213.5,12.6,3804,8230,0.0,0.9333,22.43,0,25.2
E_modelled_bias,lognormal,100,0.125,0.1,0.1,1,0.0,1,0.0,5050,45.0,5.49,39,54,0.0,0.9583,8.54,0,10.98
E_modelled_bias,lognormal,1000,0.125,0.1,0.1,1,0.0,1,0.0,500500,3886.0,11.92,3545,4658,0.0,0.9667,22.07,0,23.85
