param,level,mult,value,seed,f1,precision,recall,n_detected,true_episodes,c_median_rel_err,c_n,window_est,null_mean,attack_overlap_mass,n_est_pairs,pearson,pearson_large,n_pairs_scored,true_pos_pairs,est_pos_pairs
track_span,0.5x,0.5,40,7,0.9240506329113924,0.9358974358974359,0.9125,78.0,80.0,0.1349206349206349,73.0,45,7.6,5183.0,93,0.5255363923322274,0.3074393688745123,5256.0,246.0,168.0
track_span,0.5x,0.5,40,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.1171875,69.0,45,1.8,4855.0,94,0.3572326521071308,0.16569358121001168,4692.0,274.0,144.0
track_span,0.5x,0.5,40,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.13766366422137616,68.0,45,0.8,4545.0,83,0.5150817752931229,0.5373613355048027,4556.0,130.0,128.0
track_span,1x,1.0,80,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,4.3,5172.0,92,0.5210239749182863,0.3021574247113187,5256.0,246.0,170.0
track_span,1x,1.0,80,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,0.8,4873.0,94,0.35831373798940996,0.16639277627814797,4692.0,274.0,144.0
track_span,1x,1.0,80,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,2.2,4583.0,84,0.5239867510833566,0.5469336923543368,4556.0,130.0,130.0
track_span,2x,2.0,160,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.1388888888888889,73.0,45,9.1,5150.0,92,0.5208402203707002,0.3059001529195275,5256.0,246.0,170.0
track_span,2x,2.0,160,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.11290322580645161,69.0,45,4.0,4858.0,94,0.35709003609645057,0.16569358121001168,4692.0,274.0,144.0
track_span,2x,2.0,160,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.13755562619198983,68.0,45,1.7,4583.0,84,0.5239867510833566,0.5469336923543368,4556.0,130.0,130.0
flush_frac,0.5x,0.5,0.04,7,0.9044585987261146,0.922077922077922,0.8875,77.0,80.0,0.11842105263157894,71.0,45,11.4,5752.0,99,0.5360179160054965,0.32740405919850896,4970.0,236.0,174.0
flush_frac,0.5x,0.5,0.04,8,0.875,0.875,0.875,80.0,80.0,0.09736842105263158,70.0,45,1.8,5517.0,109,0.3725602339957853,0.1991349987338043,4830.0,270.0,164.0
flush_frac,0.5x,0.5,0.04,9,0.8301886792452831,0.8354430379746836,0.825,79.0,80.0,0.09602815485168426,66.0,45,1.2,5519.0,100,0.5703610229064504,0.6085373691744931,4290.0,116.0,134.0
flush_frac,1x,1.0,0.08,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,4.3,5172.0,92,0.5210239749182863,0.3021574247113187,5256.0,246.0,170.0
flush_frac,1x,1.0,0.08,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,0.8,4873.0,94,0.35831373798940996,0.16639277627814797,4692.0,274.0,144.0
flush_frac,1x,1.0,0.08,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,2.2,4583.0,84,0.5239867510833566,0.5469336923543368,4556.0,130.0,130.0
flush_frac,2x,2.0,0.16,7,0.8831168831168831,0.918918918918919,0.85,74.0,80.0,0.17062248096730856,68.0,45,3.1,4352.0,77,0.5420704389680517,0.3126834369888196,4556.0,200.0,130.0
flush_frac,2x,2.0,0.16,8,0.8701298701298702,0.9054054054054054,0.8375,74.0,80.0,0.18181818181818182,67.0,45,1.9,3974.0,76,0.39943542403293664,0.1631622926516275,4422.0,306.0,130.0
