seed,arm,min_pair_mass,max_cell,fixed_window,precision_all,recall_all,f1_all,tp_all,fp_all,fn_all,precision_within,recall_within,f1_within,tp_w,fn_w,pearson,pearson_large,n_estimated_pairs
7,baseline,8.0,4.0,70.0,0.4824,0.4227,0.4505,41,44,56,0.5325,0.9111,0.6721,41,4,0.521,0.3022,170.0
7,R1_q99_noise_envelope,83.0,9.0,70.0,1.0,0.1546,0.2679,15,0,82,1.0,0.3333,0.5,15,30,0.4733,0.4202,30.0
7,R2_conditional_mass_q10,10.0,4.0,70.0,0.5,0.4227,0.4581,41,41,56,0.5325,0.9111,0.6721,41,4,0.5213,0.3022,164.0
7,R3_unconditional_mass_q50,23.0,4.0,70.0,0.5065,0.4021,0.4483,39,38,58,0.5342,0.8667,0.661,39,6,0.5177,0.2984,154.0
8,baseline,8.0,4.0,84.0,0.4861,0.3125,0.3804,35,37,77,0.5,0.6731,0.5738,35,17,0.3583,0.1664,144.0
8,R1_q99_noise_envelope,78.0,9.0,84.0,0.7857,0.0982,0.1746,11,3,101,0.7857,0.2115,0.3333,11,41,0.2834,0.1851,28.0
8,R2_conditional_mass_q10,8.0,4.0,84.0,0.4861,0.3125,0.3804,35,37,77,0.5,0.6731,0.5738,35,17,0.3583,0.1664,144.0
8,R3_unconditional_mass_q50,21.0,4.0,84.0,0.4444,0.25,0.32,28,35,84,0.4444,0.5385,0.487,28,24,0.3398,0.1562,126.0
9,baseline,8.0,4.0,68.0,0.4,0.4727,0.4333,26,39,29,0.4561,0.963,0.619,26,1,0.524,0.5469,130.0
9,R1_q99_noise_envelope,78.0,9.0,68.0,0.75,0.1636,0.2687,9,3,46,0.75,0.3333,0.4615,9,18,0.4902,0.5747,24.0
9,R2_conditional_mass_q10,12.0,4.0,68.0,0.4062,0.4727,0.437,26,38,29,0.4561,0.963,0.619,26,1,0.5241,0.5469,128.0
9,R3_unconditional_mass_q50,24.0,4.0,68.0,0.431,0.4545,0.4425,25,33,30,0.4808,0.9259,0.6329,25,2,0.5209,0.5391,116.0
