# recovery vs gap (S3_n500k, dense grid, pooled over runs)
gap    n   rate  curve
  15    2  1.00  ##################################################
  25    2  1.00  ##################################################
  35    3  1.00  ##################################################
  50    6  1.00  ##################################################
  65    3  1.00  ##################################################
  80    5  1.00  ##################################################
 100    5  1.00  ##################################################
 130    8  1.00  ##################################################
 170    6  1.00  ##################################################
 220    4  1.00  ##################################################
 300    2  0.00  
