config,gap,n_pair,recovered,rate
S1_n8k,15,16,16,1.0
S1_n8k,25,12,10,0.833
S1_n8k,35,13,13,1.0
S1_n8k,50,4,4,1.0
S1_n8k,65,13,13,1.0
S1_n8k,80,13,6,0.462
S1_n8k,100,19,0,0.0
S1_n8k,130,16,0,0.0
S1_n8k,170,11,0,0.0
S1_n8k,220,18,0,0.0
S1_n8k,300,14,0,0.0
S1_n8k,400,30,0,0.0
S2_n200k,25,3,3,1.0
S2_n200k,35,4,4,1.0
S2_n200k,50,3,3,1.0
S2_n200k,65,1,1,1.0
S2_n200k,80,6,6,1.0
S2_n200k,100,9,4,0.444
S2_n200k,130,7,0,0.0
S2_n200k,170,4,0,0.0
S2_n200k,220,6,0,0.0
S2_n200k,300,1,0,0.0
S2_n200k,400,8,0,0.0
S3_n500k,15,2,2,1.0
S3_n500k,25,2,2,1.0
S3_n500k,35,3,3,1.0
S3_n500k,50,6,6,1.0
S3_n500k,65,3,3,1.0
S3_n500k,80,5,5,1.0
S3_n500k,100,5,5,1.0
S3_n500k,130,8,8,1.0
S3_n500k,170,6,6,1.0
S3_n500k,220,4,4,1.0
S3_n500k,300,2,0,0.0
